Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
G.STENDARDO,2,2015-2016,ATALANTA,1,INTER,ATALANTA,97',0,0,0,0,0,0,0,0,1,2,1,0,0,0
G.STENDARDO,2,2015-2016,ATALANTA,2,ATALANTA,FROSINONE,94',1,0,1,0,1,0,0,0,1,2,0,0,0,0
G.STENDARDO,2,2015-2016,ATALANTA,4,ATALANTA,HELLAS VERONA,100',0,0,0,1,1,0,0,0,0,0,0,0,0,0
G.STENDARDO,2,2015-2016,ATALANTA,5,EMPOLI,ATALANTA,9',0,0,0,0,0,0,0,0,0,0,0,0,0,0
G.STENDARDO,2,2015-2016,ATALANTA,8,ATALANTA,CARPI,93',0,0,0,0,0,0,0,1,1,2,0,0,0,0
G.STENDARDO,2,2015-2016,ATALANTA,10,ATALANTA,LAZIO,94',0,0,0,0,0,0,0,0,2,3,1,0,0,0
G.STENDARDO,2,2015-2016,ATALANTA,11,BOLOGNA,ATALANTA,95',0,0,0,1,1,0,0,1,2,2,1,0,0,0
G.STENDARDO,2,2015-2016,ATALANTA,13,ATALANTA,TORINO,97',0,0,0,0,0,0,0,2,3,2,0,1,0,0
G.STENDARDO,2,2015-2016,ATALANTA,14,ROMA,ATALANTA,89',0,0,0,0,0,0,0,2,2,2,0,0,1,0
G.STENDARDO,2,2015-2016,ATALANTA,16,CHIEVOVERONA,ATALANTA,25',0,0,0,0,0,0,0,1,0,0,0,0,0,0
G.STENDARDO,2,2015-2016,ATALANTA,17,ATALANTA,NAPOLI,94',0,0,0,0,0,0,0,1,0,1,0,0,0,0
G.STENDARDO,2,2015-2016,ATALANTA,30,ATALANTA,BOLOGNA,95',0,0,0,1,0,0,0,1,0,2,0,0,0,0
G.STENDARDO,2,2015-2016,ATALANTA,31,ATALANTA,MILAN,98',0,0,0,0,0,0,0,1,0,3,1,0,0,0
G.STENDARDO,2,2015-2016,ATALANTA,32,TORINO,ATALANTA,94',0,0,0,0,0,0,0,2,2,1,0,1,0,0
G.STENDARDO,2,2015-2016,ATALANTA,35,ATALANTA,CHIEVOVERONA,9',0,0,0,0,0,0,0,1,1,0,0,1,0,0
