Name,#,Year,Team,Matchday,Team 1,Team 2,M,GC,OG,S,STP,SF,FYC,SYC,RC
RUBINHO,83,2016-2017,GENOA,30,GENOA,ATALANTA,92',5,0,8,0,1,0,0,0
RUBINHO,83,2016-2017,GENOA,31,UDINESE,GENOA,93',3,0,1,0,0,0,0,0
