Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,Gls_T1,Gls_T2,FR,Gls_fh_T1,Gls_fh_T2,FHR,Gls_sh_T1,Gls_sh_T2,SHR,Gls_0_15_T1,Gls_16_30_T1,Gls_31_HT_T1,Gls_46_60_T1,Gls_61_75_T1,Gls_76_FT_T1,Gls_0_15_T2,Gls_16_30_T2,Gls_31_HT_T2,Gls_46_60_T2,Gls_61_75_T2,Gls_76_FT_T2,Coach_T1,Coach_T2,Poss_T1,Poss_T2,Svs_T1,Svs_T2,Crcl_svs_T1,Crcl_svs_T2,Pnt_T1,Pnt_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_off_T1,Atp_off_T2,Atp_off_fk_T1,Atp_off_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,FlsC_T1,FlsC_T2,Post_T1,Post_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,1st_yllw_crd_T1,1st_yllw_crd_T2,2nd_yllw_crd_T1,2nd_yllw_crd_T2,rd_crd_T1,rd_crd_T2,Fst_brk_T1,Fst_brk_T2,Crs_T1,Crs_T2,Lng_blls_T1,Lng_blls_T2,Atk_mddl_T1,Atk_mddl_T2,Atk_rght_T1,Atk_rght_T2,Atk_lft_T1,Atk_lft_T2,bet365_home_win,bet365_draw,bet365_away_win
2014-15,1,CHIEVOVERONA,JUVENTUS,30/08/2014,MARCANTONIO BENTEGODI - VERONA,18:00,CARMINE RUSSO,0,1,A,0,1,A,0,0,D,0,0,0,0,0,0,1,0,0,0,0,0,Eugenio Corini,Massimiliano Allegri,30%,70%,4,2,2,1,0 (0),0 (0),6,16,2,7,0,0,4,9,0,1,0,0,12,13,0,3,1,13,1,3,3,0,4,10,2,1,0,0,0,0,2,4,4,5,14,14,0,0,4,6,2,3,7,4,1.5
2014-15,1,ROMA,FIORENTINA,30/08/2014,OLIMPICO - ROMA,20:45,MARCO GUIDA,2,0,H,1,0,H,1,0,H,0,1,0,0,0,1,0,0,0,0,0,0,Rudi Garcia,Vincenzo Montella,56%,44%,4,3,2,2,0 (0),0 (0),11,7,5,4,0,1,6,3,1,0,0,0,13,14,0,0,7,3,1,2,3,3,2,0,4,4,0,0,0,0,10,2,3,4,8,9,9,6,10,4,6,5,1.67,3.8,5
2014-15,1,ATALANTA,HELLAS VERONA,31/08/2014,GEWISS STADIUM - BERGAMO,18:00,NICOLA RIZZOLI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Stefano Colantuono,Andrea Mandorlini,50%,50%,4,3,1,0,0 (0),0 (0),7,8,3,4,0,0,4,4,0,0,0,0,15,14,0,0,2,4,1,0,0,2,6,2,2,3,0,0,0,0,5,6,16,9,9,12,4,6,10,3,5,7,2.05,3.4,3.6
2014-15,1,MILAN,LAZIO,31/08/2014,GIUSEPPE MEAZZA - MILANO,18:00,PAOLO TAGLIAVENTO,3,1,H,1,0,H,2,1,H,1,0,0,2,0,0,0,0,0,0,1,0,Filippo Inzaghi,Stefano Pioli,46%,54%,4,1,1,0,1 (1),1 (0),6,11,4,4,1,1,2,7,0,0,0,0,13,20,0,0,2,5,3,0,1,0,0,10,2,3,0,0,0,0,6,4,4,14,9,6,6,8,8,7,3,2,2,3.4,3.75
2014-15,1,CESENA,PARMA,31/08/2014,OROGEL STADIUM - CESENA,20:45,SEBASTIANO PERUZZO,1,0,H,1,0,H,0,0,D,0,0,1,0,0,0,0,0,0,0,0,0,Pierpaolo Bisoli,Roberto Donadoni,44%,56%,3,4,1,1,0 (0),0 (0),7,7,5,3,1,0,2,4,1,0,0,0,12,22,0,0,4,1,1,1,0,0,4,7,2,2,0,0,0,0,6,7,17,21,8,13,2,9,5,14,12,12,3.1,3.2,2.35
2014-15,1,GENOA,NAPOLI,31/08/2014,LUIGI FERRARIS - GENOVA,20:45,LUCA BANTI,1,2,A,1,1,D,0,1,A,0,0,1,0,0,0,1,0,0,0,0,1,Gian Piero Gasperini,Rafael Benitez,47%,53%,2,5,1,1,0 (0),0 (0),9,13,6,4,0,0,3,9,0,0,0,0,10,10,0,0,3,5,0,3,0,3,6,5,3,1,0,0,0,0,1,1,12,5,2,6,6,8,1,1,4,6,3.9,3.4,1.95
2014-15,1,PALERMO,SAMPDORIA,31/08/2014,RENZO BARBERA - PALERMO,20:45,DINO TOMMASI,1,1,D,1,0,H,0,1,A,1,0,0,0,0,0,0,0,0,0,0,1,Giuseppe Iachini,Sinisa Mihajlovic,46%,54%,2,0,0,0,0 (0),0 (0),9,7,1,3,0,0,8,4,0,0,0,0,13,17,0,0,5,2,2,1,2,3,1,7,2,2,0,1,0,0,2,0,7,7,23,25,4,7,6,5,8,6,2.2,3.25,3.3
2014-15,1,SASSUOLO,CAGLIARI,31/08/2014,MAPEI STADIUM - REGGIO EMILIA,20:45,PAOLO VALERI,1,1,D,1,1,D,0,0,D,0,0,1,0,0,0,0,0,1,0,0,0,Eusebio Di Francesco,Zdenek Zeman,45%,55%,3,4,0,1,0 (0),0 (0),9,6,5,4,0,1,4,2,1,0,0,0,20,19,0,0,2,2,3,3,4,1,4,4,3,2,0,0,0,0,0,2,12,3,10,8,7,1,3,5,3,4,2.3,3.4,3
2014-15,1,TORINO,INTER,31/08/2014,OLIMPICO - TORINO,20:45,DANIELE DOVERI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Gian Piero Ventura,Walter Mazzarri,41%,59%,2,3,1,0,1 (0),0 (0),9,10,3,2,1,0,6,8,0,0,0,0,9,10,0,0,3,3,0,1,1,2,6,10,1,1,0,0,0,1,2,0,7,11,12,6,5,9,1,3,7,4,3.1,3.3,2.3
2014-15,1,UDINESE,EMPOLI,31/08/2014,DACIA ARENA - STADIO FRIULI - UDINE,20:45,MARCO DI BELLO,2,0,H,0,0,D,2,0,H,0,0,0,1,1,0,0,0,0,0,0,0,Andrea Stramaccioni,Maurizio Sarri,52%,48%,2,3,0,2,0 (0),0 (0),12,11,5,3,0,0,7,8,0,0,0,0,11,9,0,1,7,4,6,1,4,2,3,9,2,2,0,0,0,0,4,2,6,11,22,4,3,2,3,6,4,5,1.8,3.5,4.5
