Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,PssC_T1,PssC_T2,PssC_%_T1,PssC_%_T2,LngP_T1,LngP_T2,MdmP_T1,MdmP_T2,ShrP_T1,ShrP_T2,BuP_T1,BuP_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2018-2019,10,GENOA,UDINESE,28/10/2018,STADIUM LUIGI FERRARIS,15:00:00,PAOLO SILVIO  MAZZOLENI,ELENITO  DI LIBERATORE,PASQUALE  DE MEO,LUIGI  PILLITTERI,LUCA  BANTI,MAURO TONOLINI,2,2,D,IVAN JURIC,JULIO VELAZQUEZ,3-4-1-2,3-5-2,97'03,44'29,0.46,16'44 (38%),8'18 (50%),8'26 (50%),27'45 (62%),14'32 (52%),13'13 (48%),2'44,2'44,2'41,2'12,1'08,5'15,5'16,5'00,3'34,3'38,2'21,7'56,11,11,6(2),8(2),2,0,4,5,5,3,5,3,7,5,1,2,0,1,4,8,17,18,209,427,0.7,0.83,13,27,78,148,118,252,19,24,24,23,1 (1),0 (0),94.401,28.475,58.457,7.469,97.782,27.945,62.099,7.738,6.1,6.3,22 (51%),5 (12%),16 (37%),26 (50%),6 (12%),20 (38%),3/3,2/2,1/2,0/1,0/1,2/2,0/0,2/2,3/4,3/6,2/4,1/2,ROMULO,8,RODRIGO DE PAUL,10,2.1,3.2,3.8
2018-2019,10,SPAL,FROSINONE,28/10/2018,STADIUM PAOLO MAZZA,15:00:00,DANIELE  CHIFFI,ALBERTO  TEGONI,ENRICO  CALIARI,MARCO  SERRA,EUGENIO  ABBATTISTA,DAMIANO DI IORIO,0,3,A,LEONARDO SEMPLICI,MORENO LONGO,3-5-2,3-4-2-1,98'02,48'48,0.5,30'39 (63%),10'25 (34%),20'14 (66%),18'09 (37%),8'37 (47%),9'32 (53%),7'04,4'01,3'20,3'32,5'59,6'42,2'07,3'43,3'55,3'19,2'40,2'25,10,5,5(0),4(3),0,0,4,3,5,1,1,3,6,3,0,3,0,4,9,1,19,12,502,275,0.86,0.74,14,29,145,74,343,172,35,22,25,13,0 (0),0 (0),106.854,29.362,68.715,8.777,105.374,28.296,69.198,7.88,6.4,6.6,26 (37%),12 (17%),33 (46%),13 (41%),5 (15%),14 (44%),0/2,5/5,7/9,11/14,0/0,0/0,1/1,5/5,2/3,0/1,0/0,0/0,MOHAMED FARES,93,CAMILLO CIANO,28,1.8,3.75,4.5
2018-2019,10,MILAN,SAMPDORIA,28/10/2018,STADIUM GIUSEPPE MEAZZA,18:00:00,FABIO  MARESCA,STEFANO  LIBERTI,LUCA  MONDIN,FABRIZIO  PASQUA,DANIELE  ORSATO,FILIPPO MELI,3,2,H,GENNARO GATTUSO,MARCO GIAMPAOLO,4-4-2,4-3-1-2,95'37,63'11,0.66,33'32 (53%),17'57 (54%),15'35 (46%),29'39 (47%),13'04 (44%),16'35 (56%),6'19,7'36,4'43,5'01,6'09,3'44,4'01,4'47,6'11,6'05,3'10,5'25,8,3,7(3),2(2),0,0,4,2,1,1,0,3,7,3,2,2,0,1,5,1,11,9,479,567,0.88,0.89,31,14,152,156,296,397,13,23,7,20,0 (0),0 (0),111.373,28.168,74.958,8.247,108.756,27.834,72.747,8.175,6.7,6.5,13 (33%),5 (12%),22 (55%),24 (39%),13 (21%),25 (40%),0/2,1/1,3/5,2/5,0/0,0/0,1/1,1/1,1/2,0/2,0/0,0/0,GONZALO HIGUAIN,9,FABIO QUAGLIARELLA,27,1.5,4.33,6.5
2018-2019,10,NAPOLI,ROMA,28/10/2018,STADIUM SAN PAOLO,20:30:00,DAVIDE  MASSA,ALESSANDRO  COSTANZO,GIORGIO  PERETTI,PIERO  GIACOMELLI,MARCO  DI BELLO,FABIANO PRETI,1,1,D,CARLO ANCELOTTI,EUSEBIO DI FRANCESCO,4-4-2,4-2-3-1,95'10,53'10,0.56,32'01 (60%),9'47 (31%),22'14 (69%),21'09 (40%),14'12 (67%),6'57 (33%),3'22,6'22,4'37,4'39,5'50,7'11,5'32,3'19,5'17,3'08,2'05,1'48,18,7,6(1),5(1),0,0,4,3,12,2,3,4,9,4,0,1,10,1,17,3,7,6,609,353,0.9,0.79,23,23,187,119,399,211,25,10,19,13,0 (0),0 (0),109.062,30.255,70.234,8.573,110.467,29.476,73.629,7.362,6.5,6.8,36 (51%),12 (18%),22 (31%),13 (52%),6 (24%),6 (24%),2/4,4/4,4/6,9/9,0/0,0/0,1/1,4/4,0/1,0/0,0/0,0/0,DRIES MERTENS,14,STEPHAN EL SHAARAWY,92,1.72,3.75,4.75
2018-2019,10,LAZIO,INTER,29/10/2018,STADIUM OLIMPICO,20:30:00,MASSIMILIANO  IRRATI,GIANLUCA  VUOTO,LORENZO  MANGANELLI,GIANLUCA  MANGANIELLO,GIANLUCA  ROCCHI,STEFANO ALASSIO,0,3,A,SIMONE INZAGHI,LUCIANO SPALLETTI,3-5-2,4-2-3-1,94'54,51'46,0.55,21'48 (42%),10'28 (48%),11'20 (52%),29'58 (58%),21'14 (71%),8'44 (29%),3'10,3'01,2'00,3'27,3'34,6'35,7'25,5'14,6'01,3'47,2'53,4'38,11,13,4(0),7(3),1,0,3,6,7,6,4,4,8,9,0,1,1,0,7,6,14,10,311,545,0.82,0.87,34,26,110,174,167,345,35,35,19,9,0 (0),0 (0),106.759,23.702,73.089,9.968,107.413,23.189,74.259,9.965,7.0,7.2,26 (51%),9 (18%),16 (31%),12 (34%),9 (26%),14 (40%),0/0,1/1,4/11,1/3,0/0,0/0,0/0,1/1,0/1,3/4,0/0,0/0,DANILO CATALDI,32,MAURO ICARDI,9,2.4,3.4,3.0
2018-2019,11,NAPOLI,EMPOLI,02/11/2018,STADIUM SAN PAOLO,20:30:00,LUCA  PAIRETTO,SERGIO  RANGHETTI,LORENZO  GORI,IVANO  PEZZUTO,PAOLO SILVIO  MAZZOLENI,STEFANO LIBERTI,5,1,H,CARLO ANCELOTTI,AURELIO ANDREAZZOLI,4-4-2,4-3-2-1,94'46,61'10,0.65,31'12 (51%),16'50 (54%),14'22 (46%),29'58 (49%),16'26 (55%),13'32 (45%),5'11,5'58,4'19,4'44,3'36,7'24,4'19,5'21,5'24,5'22,4'13,5'19,19,8,13(5),4(1),0,0,7,2,6,4,3,8,11,5,4,1,1,3,0,7,8,7,478,513,0.87,0.87,44,42,150,224,284,247,36,41,16,21,0 (0),0 (0),113.761,28.517,74.489,10.755,112.194,27.967,75.367,8.86,7.0,6.9,16 (33%),12 (24%),21 (43%),24 (40%),11 (18%),25 (42%),0/0,1/1,1/1,1/1,1/1,0/1,1/1,1/1,4/6,2/7,0/1,1/2,DRIES MERTENS,14,FRANCESCO CAPUTO,11,1.2,7.0,15.0
2018-2019,11,INTER,GENOA,03/11/2018,STADIUM GIUSEPPE MEAZZA,15:00:00,PAOLO  VALERI,FABIANO  PRETI,DARIO  CECCONI,MARCO  SERRA,ROSARIO  ABISSO,ALESSANDRO GIALLATINI,5,0,H,LUCIANO SPALLETTI,IVAN JURIC,4-3-3,3-5-2,96'05,53'12,0.55,32'53 (62%),26'45 (81%),6'08 (19%),20'19 (38%),17'25 (86%),2'54 (14%),5'38,6'06,4'18,6'02,3'59,6'50,3'48,3'34,3'15,3'06,4'06,2'30,17,8,10(5),3(0),0,0,8,2,7,5,3,5,11,1,2,0,0,0,11,6,7,15,494,264,0.84,0.75,34,29,175,99,285,136,21,18,17,21,0 (0),0 (0),111.934,27.878,74.297,9.759,107.501,29.384,68.789,9.328,6.7,6.4,25 (48%),10 (19%),17 (33%),12 (28%),16 (37%),15 (35%),1/2,0/1,4/7,4/4,0/0,0/0,0/0,0/1,1/1,1/2,0/0,0/0,ROBERTO GAGLIARDINI,5,KRZYSZTOF PIATEK,9,1.36,5.0,9.0
2018-2019,11,FIORENTINA,ROMA,03/11/2018,STADIUM ARTEMIO FRANCHI,18:00:00,LUCA  BANTI,DANIELE  BINDONI,FILIPPO  MELI,GIANPAOLO  CALVARESE,DANIELE  ORSATO,GIORGIO SCHENONE,1,1,D,STEFANO PIOLI,EUSEBIO DI FRANCESCO,4-3-3,4-2-3-1,96'47,53'52,0.56,21'04 (39%),14'46 (70%),6'18 (30%),32'48 (61%),20'33 (63%),12'15 (37%),3'27,3'18,2'55,4'58,3'05,3'21,5'50,5'13,4'31,4'01,6'07,7'06,11,11,3(1),6(1),1,1,2,2,8,5,4,2,3,8,0,0,2,0,3,6,9,20,207,403,0.66,0.8,25,18,67,160,115,225,8,18,17,28,1 (1),0 (0),108.042,29.363,69.799,8.88,107.113,28.822,68.825,9.466,6.6,6.5,8 (26%),8 (26%),15 (48%),26 (34%),14 (18%),37 (48%),0/0,0/0,1/1,1/2,0/0,0/0,2/2,0/0,4/6,3/5,0/0,0/0,FEDERICO CHIESA,25,ALESSANDRO FLORENZI,24,2.7,3.4,2.6
2018-2019,11,JUVENTUS,CAGLIARI,03/11/2018,STADIUM ALLIANZ STADIUM,20:30:00,MAURIZIO  MARIANI,VALENTINO  FIORITO,MAURO  GALETTO,LIVIO  MARINELLI,DAVIDE  MASSA,FABRIZIO POSADO,3,1,H,MASSIMILIANO ALLEGRI,ROLANDO MARAN,4-3-2-1,4-3-1-2,97'09,53'15,0.55,32'44 (61%),12'03 (37%),20'41 (63%),20'31 (39%),11'20 (55%),9'11 (45%),3'25,4'50,8'23,5'51,5'36,4'39,0'35,4'21,2'50,4'48,2'11,5'45,11,4,5(2),3(1),0,0,4,3,6,1,1,2,8,3,2,0,3,0,5,4,10,15,493,411,0.88,0.82,68,37,182,153,243,221,37,22,22,23,0 (0),0 (0),112.125,29.785,74.232,8.108,114.517,27.297,79.188,8.032,6.6,6.8,27 (44%),11 (18%),23 (38%),16 (31%),12 (23%),24 (46%),1/2,1/2,4/10,6/12,0/0,0/0,0/1,1/2,1/2,5/11,0/0,0/0,JUAN CUADRADO,16,JOAO PEDRO,10,1.16,7.5,17.0
2018-2019,11,LAZIO,SPAL,04/11/2018,STADIUM OLIMPICO,12:30:00,MARCO  GUIDA,MATTEO  PASSERI,FRANCESCO  FIORE,MARCO  PICCININI,DAVIDE  GHERSINI,SALVATORE LONGO,4,1,H,SIMONE INZAGHI,LEONARDO SEMPLICI,3-5-2,3-5-2,93'07,57'13,0.61,27'57 (49%),14'50 (53%),13'07 (47%),29'16 (51%),17'07 (58%),12'09 (42%),4'42,3'28,5'13,2'54,5'38,6'01,3'40,2'58,5'58,5'25,5'44,5'31,18,5,11(4),3(1),0,0,8,3,7,2,2,6,14,3,2,1,2,1,8,4,7,8,457,506,0.85,0.88,29,21,123,140,303,345,41,37,24,20,0 (0),0 (0),110.772,25.51,75.472,9.79,109.142,26.186,73.423,9.533,7.1,7.0,32 (54%),4 (7%),23 (39%),23 (46%),12 (24%),15 (30%),0/0,1/2,2/4,1/3,0/0,0/0,0/0,1/2,2/4,1/3,0/0,0/0,CIRO IMMOBILE,17,MIRCO ANTENUCCI,7,1.33,5.25,10.0
2018-2019,11,CHIEVOVERONA,SASSUOLO,04/11/2018,STADIUM MARCANTONIO BENTEGODI,15:00:00,GIANLUCA  AURELIANO,DOMENICO  ROCCA,DAVIDE  IMPERIALE,NICCOLO'  BARONI,DANIELE  DOVERI,PASQUALE DE MEO,0,2,A,GIAN PIERO VENTURA,ROBERTO DE ZERBI,4-3-2-1,4-3-3,96'14,48'15,0.5,26'28 (55%),12'52 (49%),13'36 (51%),21'47 (45%),14'16 (65%),7'31 (35%),3'26,4'17,4'15,5'54,3'45,4'51,3'53,4'34,3'03,3'15,2'55,4'06,1,8,1(0),4(1),0,1,1,3,0,4,3,0,3,6,0,1,4,4,3,2,21,16,436,305,0.81,0.75,41,27,166,114,229,164,25,21,12,16,0 (0),0 (0),109.448,26.825,74.258,8.365,113.847,26.694,77.102,10.051,6.8,7.0,17 (37%),8 (17%),21 (46%),17 (41%),6 (15%),18 (44%),0/0,2/3,9/9,4/7,0/0,0/0,0/2,2/3,2/3,3/4,0/0,0/0,MARIUSZ STEPINSKI,9,FEDERICO DI FRANCESCO,34,3.6,3.4,2.1
2018-2019,11,PARMA,FROSINONE,04/11/2018,STADIUM ENNIO TARDINI,15:00:00,GIANLUCA  MANGANIELLO,ALESSANDRO  LO CICERO,FILIPPO  VALERIANI,FABIO  PISCOPO,FABIO  MARESCA,GIANMATTIA TASSO,0,0,D,ROBERTO D'AVERSA,MORENO LONGO,4-3-3,3-4-2-1,94'16,48'20,0.51,24'10 (50%),12'19 (51%),11'51 (49%),24'10 (50%),9'27 (39%),14'43 (61%),6'11,4'43,3'58,4'20,2'17,2'41,2'34,4'31,2'21,3'07,4'02,7'35,9,9,1(0),1(0),0,0,0,1,8,8,1,1,2,4,0,0,0,1,3,7,14,15,310,419,0.78,0.82,25,37,104,166,181,216,27,28,21,24,0 (0),0 (0),106.592,27.587,71.261,7.744,106.078,28.711,70.27,7.097,6.8,6.6,26 (48%),11 (21%),17 (31%),21 (34%),9 (14%),32 (52%),1/1,2/2,2/3,3/5,1/2,0/0,2/3,2/2,6/9,2/7,0/4,0/0,LUCA SILIGARDI,26,RAI VLOET,4,1.95,3.5,4.0
2018-2019,11,SAMPDORIA,TORINO,04/11/2018,STADIUM LUIGI FERRARIS,15:00:00,GIANLUCA  ROCCHI,STEFANO  DEL GIOVANE,MAURO  VIVENZI,JUAN LUCA  SACCHI,MASSIMILIANO  IRRATI,GIANLUCA VUOTO,1,4,A,MARCO GIAMPAOLO,WALTER MAZZARRI,4-3-1-2,3-5-2,95'56,46'03,0.48,24'00 (52%),12'19 (51%),11'41 (49%),22'03 (48%),13'35 (62%),8'28 (38%),3'35,4'02,2'53,4'32,4'40,4'18,4'09,4'54,3'42,2'44,2'51,3'42,10,15,4(1),8(4),1,1,3,7,6,7,4,3,9,10,0,2,2,2,0,2,13,25,331,311,0.77,0.72,22,40,119,103,190,168,32,30,30,19,1 (0),1 (1),101.818,28.576,65.48,7.762,104.987,29.53,67.056,8.401,6.2,6.4,25 (42%),11 (18%),24 (40%),12 (32%),9 (23%),17 (45%),0/1,0/3,2/4,0/2,0/0,0/0,0/1,0/3,1/1,5/9,0/0,0/0,FABIO QUAGLIARELLA,27,ANDREA BELOTTI,9,2.7,3.2,2.7
2018-2019,11,BOLOGNA,ATALANTA,04/11/2018,STADIUM RENATO DALL'ARA,18:00:00,FEDERICO  LA PENNA,EMANUELE  PRENNA,ALBERTO  TEGONI,LUIGI  PILLITTERI,DANIELE  CHIFFI,LUCA MONDIN,1,2,A,FILIPPO INZAGHI,GIAN PIERO GASPERINI,3-5-2,3-4-1-2,94'01,63'29,0.68,26'58 (42%),16'41 (62%),10'17 (38%),36'31 (58%),16'36 (45%),19'55 (55%),3'12,4'36,3'48,4'11,3'58,7'13,6'35,5'25,6'24,5'43,6'47,5'36,9,12,5(1),6(2),0,0,4,4,4,6,4,3,6,7,1,0,1,1,1,4,7,12,250,565,0.69,0.86,30,33,100,206,120,325,19,27,36,33,0 (0),0 (0),117.539,27.221,80.416,9.902,114.561,29.376,75.262,9.923,7.2,7.0,11 (21%),18 (35%),23 (44%),36 (48%),8 (11%),31 (41%),0/0,1/3,2/2,3/3,1/2,0/1,0/2,1/3,2/5,2/3,1/1,0/0,IBRAHIMA MBAYE,15,DUVAN ZAPATA,91,5.0,3.7,1.72
2018-2019,11,UDINESE,MILAN,04/11/2018,"STADIUM FRIULI DENOMINAZIONE COMMERCIALE ""DACIA ARENA""",20:30:00,MARCO  DI BELLO,ALFONSO  MARRAZZO,MATTEO  BOTTEGONI,PIERO  GIACOMELLI,MICHAEL  FABBRI,ALESSIO TOLFO,0,1,A,JULIO VELAZQUEZ,GENNARO GATTUSO,3-5-1-1,4-4-2,103'00,46'41,0.45,22'08 (47%),12'15 (55%),9'53 (45%),24'33 (53%),13'02 (53%),11'31 (47%),4'24,2'56,4'00,3'31,2'34,4'43,4'34,4'00,3'13,4'36,3'07,5'03,11,15,4(0),9(1),0,1,1,4,7,6,8,4,5,9,0,1,1,1,4,7,11,13,296,376,0.77,0.82,24,29,72,159,200,188,17,26,15,24,0 (0),0 (0),102.896,32.293,62.29,8.313,103.105,31.853,62.831,8.421,5.9,6.0,24 (63%),3 (8%),11 (29%),18 (30%),11 (18%),31 (52%),0/0,1/1,0/0,0/1,0/0,2/4,3/3,1/1,0/1,0/1,0/1,0/2,KEVIN LASAGNA,15,ALESSIO ROMAGNOLI,13,4.2,3.5,1.9
2018-2019,12,FROSINONE,FIORENTINA,09/11/2018,STADIUM BENITO STIRPE,20:30:00,FABRIZIO  PASQUA,SALVATORE  LONGO,GIORGIO  PERETTI,LORENZO  ILLUZZI,LUIGI  NASCA,VALENTINO FIORITO,1,1,D,MORENO LONGO,STEFANO PIOLI,3-4-2-1,4-3-3,94'00,54'31,0.58,25'31 (47%),15'18 (60%),10'13 (40%),29'00 (53%),15'06 (52%),13'54 (48%),3'59,2'39,4'55,5'17,3'56,4'45,4'43,4'35,4'05,4'10,7'07,4'20,5,16,3(1),10(1),0,1,1,8,2,6,8,2,4,11,1,1,2,2,4,5,8,12,324,458,0.76,0.85,26,26,128,180,170,252,28,34,24,20,0 (0),0 (0),106.326,25.165,72.808,8.353,105.947,25.941,71.849,8.157,7.0,6.9,21 (38%),10 (18%),24 (44%),21 (36%),18 (30%),20 (34%),1/1,2/3,5/6,1/6,1/1,1/2,0/0,2/3,1/1,1/4,1/3,1/2,ANDREA PINAMONTI,89,MARCO BENASSI,24,5.25,3.6,1.7
2018-2019,12,TORINO,PARMA,10/11/2018,STADIUM OLIMPICO GRANDE TORINO,15:00:00,DAVIDE  MASSA,GIANMATTIA  TASSO,ALESSIO  TOLFO,ANTONIO  GIUA,DANIELE  CHIFFI,ALESSANDRO LO CICERO,1,2,A,WALTER MAZZARRI,ROBERTO D'AVERSA,3-4-2-1,4-3-3,96'03,44'47,0.47,29'49 (67%),11'34 (39%),18'15 (61%),14'58 (33%),9'28 (63%),5'30 (37%),3'56,4'07,5'38,5'38,6'39,3'50,2'29,2'18,2'11,1'58,1'51,4'11,12,11,4(1),7(2),0,0,3,6,8,4,4,3,7,8,0,1,1,1,7,7,14,17,410,162,0.82,0.68,24,21,182,58,204,83,24,6,27,19,0 (0),0 (0),106.585,29.333,68.359,8.893,110.179,28.855,73.143,8.181,6.5,6.7,31 (46%),6 (9%),30 (45%),16 (50%),9 (28%),7 (22%),1/3,0/0,3/5,4/6,0/0,0/0,0/0,0/0,2/3,0/1,0/0,0/0,DANIELE BASELLI,8,GERVINHO,27,1.44,4.2,8.5
2018-2019,12,SPAL,CAGLIARI,10/11/2018,STADIUM PAOLO MAZZA,18:00:00,DANIELE  DOVERI,CIRO  CARBONE,VALERIO  COLAROSSI,FRANCESCO  FOURNEAU,LUCA  BANTI,FILIPPO VALERIANI,2,2,D,LEONARDO SEMPLICI,ROLANDO MARAN,3-5-2,4-3-1-2,96'27,49'14,0.51,22'55 (47%),15'07 (66%),7'48 (34%),26'19 (53%),12'17 (47%),14'02 (53%),4'45,3'58,3'26,5'51,2'41,2'14,3'33,5'25,4'50,4'16,3'14,5'31,8,11,4(2),3(2),0,0,4,2,4,8,1,2,3,5,2,2,1,3,1,6,13,15,389,420,0.85,0.83,18,35,133,140,238,245,13,13,18,20,0 (0),0 (0),110.157,25.555,74.947,9.655,112.04,25.336,76.901,9.803,6.9,6.9,19 (44%),6 (14%),18 (42%),15 (29%),7 (13%),30 (58%),1/2,1/1,2/4,2/2,0/0,0/0,1/1,1/1,0/1,1/3,0/0,0/0,MANUEL LAZZARI,29,LEONARDO PAVOLETTI,30,2.45,3.1,3.1
2018-2019,12,GENOA,NAPOLI,10/11/2018,STADIUM LUIGI FERRARIS,20:30:00,ROSARIO  ABISSO,MAURO  TONOLINI,STEFANO  LIBERTI,ALEANDRO  DI PAOLO,MARCO  DI BELLO,ALBERTO TEGONI,1,2,A,IVAN JURIC,CARLO ANCELOTTI,3-5-2,4-4-2,95'26,54'06,0.57,22'38 (42%),12'50 (57%),9'48 (43%),31'28 (58%),13'45 (44%),17'43 (56%),4'25,4'04,3'36,3'04,3'11,4'18,5'49,5'47,7'07,5'54,3'21,3'29,8,13,3(1),7(1),0,1,3,4,5,6,3,2,3,8,1,1,1,4,2,7,15,6,199,507,0.65,0.83,21,36,57,159,121,312,22,39,27,24,0 (0),0 (0),107.747,30.278,68.831,8.638,109.269,30.715,69.56,8.994,6.6,6.5,26 (55%),8 (17%),13 (28%),35 (52%),19 (29%),13 (19%),1/1,3/4,6/7,3/5,0/0,0/0,1/1,3/4,6/8,4/5,0/0,0/0,CHRISTIAN KOUAME,11,FABIAN RUIZ,8,7.0,4.5,1.44
2018-2019,12,ATALANTA,INTER,11/11/2018,STADIUM ATLETI AZZURRI D'ITALIA,12:30:00,FABIO  MARESCA,GIORGIO  SCHENONE,LUCA  MONDIN,MAURIZIO  MARIANI,MARCO  GUIDA,FABRIZIO POSADO,4,1,H,GIAN PIERO GASPERINI,LUCIANO SPALLETTI,3-4-1-2,4-3-3,97'58,48'35,0.5,24'33 (51%),11'43 (48%),12'50 (52%),24'02 (49%),12'42 (53%),11'20 (47%),5'01,4'51,5'07,3'16,2'05,4'13,4'26,3'37,3'39,3'00,4'25,4'55,16,6,10(4),2(1),0,1,8,2,6,4,1,5,11,2,3,0,1,1,9,6,11,13,369,372,0.86,0.8,34,28,123,144,212,200,26,17,17,21,0 (0),1 (1),114.641,27.114,77.014,10.513,114.707,27.187,76.345,11.175,6.9,6.8,28 (61%),7 (15%),11 (24%),17 (34%),8 (16%),25 (50%),5/5,1/1,2/2,0/0,0/1,0/0,2/3,1/1,3/5,0/1,1/1,1/1,ALEJANDRO GOMEZ,10,MAURO ICARDI,9,2.75,3.3,2.6
2018-2019,12,CHIEVOVERONA,BOLOGNA,11/11/2018,STADIUM MARCANTONIO BENTEGODI,15:00:00,DANIELE  ORSATO,ENRICO  CALIARI,MARCO  BRESMES,VALERIO  MARINI,GIANLUCA  MANGANIELLO,RODOLFO DI VUOLO,2,2,D,GIAN PIERO VENTURA,FILIPPO INZAGHI,3-5-2,3-5-2,94'09,41'52,0.44,20'50 (50%),13'22 (64%),7'28 (36%),21'02 (50%),13'46 (65%),7'16 (35%),2'52,4'14,3'18,2'45,2'43,4'58,2'37,2'25,4'13,4'53,2'28,4'26,12,12,6(2),6(2),1,1,3,5,6,6,4,4,6,6,0,2,1,3,5,6,15,18,318,317,0.78,0.75,45,24,132,111,141,182,14,23,17,14,1 (1),0 (0),106.352,26.363,71.35,8.639,109.61,25.98,73.459,10.171,6.7,6.8,14 (33%),10 (24%),18 (43%),17 (36%),10 (21%),20 (43%),1/2,1/1,2/4,2/3,2/2,0/0,1/1,1/1,1/1,1/1,1/3,1/1,JOEL OBI,22,RICCARDO ORSOLINI,7,2.9,3.2,2.6
2018-2019,12,EMPOLI,UDINESE,11/11/2018,STADIUM CARLO CASTELLANI,15:00:00,PIERO  GIACOMELLI,ANTONIO  SANTORO,STEFANO  ALASSIO,DANIELE  MINELLI,FEDERICO  LA PENNA,STEFANO DEL GIOVANE,2,1,H,GIUSEPPE IACHINI,JULIO VELAZQUEZ,4-3-2-1,3-5-1-1,96'54,54'20,0.56,21'19 (39%),13'15 (62%),8'04 (38%),33'01 (61%),18'07 (55%),14'54 (45%),4'06,2'28,3'56,3'26,3'47,3'36,6'21,5'32,6'04,5'07,3'55,6'02,9,22,5(2),9(1),0,0,3,5,4,13,7,3,5,13,2,1,1,5,4,13,6,11,209,370,0.64,0.77,21,30,73,152,115,188,8,16,22,26,0 (0),1 (0),108.262,29.102,69.626,9.534,107.288,28.674,69.086,9.528,6.7,6.6,12 (29%),9 (21%),21 (50%),20 (29%),19 (28%),29 (43%),0/0,1/1,0/1,1/2,0/0,0/0,3/3,1/1,3/4,4/6,0/0,1/1,FRANCESCO CAPUTO,11,IGNACIO PUSSETTO,23,2.2,3.3,3.5
2018-2019,12,ROMA,SAMPDORIA,11/11/2018,STADIUM OLIMPICO,15:00:00,MASSIMILIANO  IRRATI,LORENZO  MANGANELLI,GIANLUCA  VUOTO,EUGENIO  ABBATTISTA,GIANLUCA  ROCCHI,MATTEO PASSERI,4,1,H,EUSEBIO DI FRANCESCO,MARCO GIAMPAOLO,4-2-3-1,4-3-1-2,94'56,48'37,0.51,26'08 (54%),14'06 (54%),12'02 (46%),22'29 (46%),13'15 (59%),9'14 (41%),6'01,3'07,4'39,3'13,2'47,6'21,2'42,4'30,3'30,3'00,2'40,6'07,10,4,6(4),3(1),0,0,5,2,4,1,2,1,6,3,3,1,6,1,7,7,8,10,366,386,0.82,0.79,27,18,127,116,212,252,17,16,23,10,0 (0),0 (0),110.993,24.193,78.718,8.082,112.567,22.862,80.332,9.373,6.6,6.8,16 (32%),10 (20%),24 (48%),15 (38%),6 (16%),18 (46%),4/4,0/3,0/0,1/2,3/3,1/2,1/1,0/3,2/5,5/6,0/0,1/1,STEPHAN EL SHAARAWY,92,GREGOIRE DEFREL,92,1.44,4.5,7.0
