Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,PssC_T1,PssC_T2,PssC_%_T1,PssC_%_T2,LngP_T1,LngP_T2,MdmP_T1,MdmP_T2,ShrP_T1,ShrP_T2,BuP_T1,BuP_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2018-2019,5,FROSINONE,JUVENTUS,23/09/2018,STADIUM BENITO STIRPE,20:30:00,PIERO  GIACOMELLI,LUCA  MONDIN,ANTONIO  SANTORO,LIVIO  MARINELLI,MAURIZIO  MARIANI,STEFANO DEL GIOVANE,0,2,A,MORENO LONGO,MASSIMILIANO ALLEGRI,3-5-2,4-3-1-2,95'16,54'55,0.58,15'17 (28%),9'17 (61%),6'00 (39%),39'38 (72%),12'53 (33%),26'45 (67%),4'21,1'40,3'28,1'55,1'28,2'25,5'48,5'26,6'09,6'59,6'18,8'58,2,18,0(0),8(2),0,0,0,5,2,10,5,0,0,12,0,1,1,1,3,5,16,8,200,579,0.73,0.9,15,39,65,207,120,333,10,34,8,31,0 (0),0 (0),105.161,29.451,70.214,5.496,106.643,29.565,70.83,6.248,6.5,6.6,7 (30%),7 (31%),9 (39%),39 (53%),8 (11%),26 (36%),0/0,0/1,3/3,1/2,2/4,0/0,2/3,1/1,5/10,7/8,3/4,1/5,STIPE PERICA,11,CRISTIANO RONALDO,7,13.0,7.5,1.16
2018-2019,6,INTER,FIORENTINA,25/09/2018,STADIUM GIUSEPPE MEAZZA,21:00:00,PAOLO SILVIO  MAZZOLENI,STEFANO  DEL GIOVANE,SALVATORE  LONGO,LIVIO  MARINELLI,MASSIMILIANO  IRRATI,MAURO VIVENZI,2,1,H,LUCIANO SPALLETTI,STEFANO PIOLI,4-2-3-1,4-3-3,97'32,47'34,0.49,23'35 (50%),14'38 (62%),8'57 (38%),23'59 (50%),14'32 (61%),9'27 (39%),3'15,4'24,3'12,4'24,3'23,4'57,5'40,2'49,4'23,4'03,3'25,3'39,11,10,3(2),7(0),1,0,3,5,8,3,4,1,9,9,1,0,1,2,6,3,18,20,332,350,0.78,0.76,21,30,108,121,203,199,41,39,16,17,1 (1),0 (0),111.877,29.752,73.135,8.99,111.026,29.106,73.813,8.107,6.6,6.6,16 (31%),13 (26%),22 (43%),16 (36%),12 (26%),17 (38%),2/3,0/1,4/12,4/13,0/0,0/0,0/0,0/1,3/4,4/6,0/0,0/0,DANILO D'AMBROSIO,33,FEDERICO CHIESA,25,1.66,3.8,5.5
2018-2019,6,UDINESE,LAZIO,26/09/2018,"STADIUM FRIULI DENOMINAZIONE COMMERCIALE ""DACIA ARENA""",19:00:00,FABIO  MARESCA,CIRO  CARBONE,ALESSANDRO  LO CICERO,RICCARDO  ROS,DANIELE  CHIFFI,FABIANO PRETI,1,2,A,JULIO VELAZQUEZ,SIMONE INZAGHI,4-4-2,3-5-2,96'55,49'35,0.51,25'25 (51%),15'08 (60%),10'17 (40%),24'10 (49%),15'05 (62%),9'05 (38%),5'07,3'30,4'14,3'40,3'50,5'04,4'37,3'54,4'59,4'26,2'01,4'13,10,5,6(0),2(2),1,0,2,2,4,3,0,5,7,4,0,0,1,1,6,4,7,17,395,389,0.86,0.85,39,35,119,142,152,194,17,18,15,13,0 (0),0 (0),110.689,27.33,74.256,9.103,115.059,26.325,80.092,8.642,6.7,6.9,14 (37%),8 (21%),16 (42%),20 (47%),5 (11%),18 (42%),1/2,1/1,0/0,3/3,0/0,0/0,0/0,1/1,1/1,1/3,0/0,0/0,SEKO FOFANA,6,JOAQUIN CORREA,11,4.2,3.75,1.85
2018-2019,6,ATALANTA,TORINO,26/09/2018,STADIUM ATLETI AZZURRI D'ITALIA,21:00:00,DANIELE  ORSATO,GIORGIO  PERETTI,DARIO  CECCONI,FEDERICO  LA PENNA,PIERO  GIACOMELLI,SERGIO RANGHETTI,0,0,D,GIAN PIERO GASPERINI,WALTER MAZZARRI,3-4-1-2,3-5-2,96'00,43'22,0.45,24'14 (56%),14'58 (62%),9'16 (38%),19'08 (44%),12'49 (67%),6'19 (33%),3'52,3'49,4'18,3'18,4'04,4'53,3'31,1'50,3'40,3'11,2'39,4'17,11,3,4(0),0(0),0,0,2,0,7,3,0,3,6,2,0,0,2,1,11,1,13,15,373,266,0.76,0.66,24,26,148,91,201,149,30,17,31,22,0 (0),0 (0),111.084,28.053,72.196,10.835,112.405,28.18,72.507,11.718,6.8,6.8,25 (42%),8 (14%),26 (44%),18 (38%),7 (15%),22 (47%),1/2,2/2,4/5,4/4,0/0,0/0,1/1,2/2,2/2,3/4,0/0,0/0,ALEJANDRO GOMEZ,10,ANDREA BELOTTI,9,1.8,3.6,4.5
2018-2019,6,CAGLIARI,SAMPDORIA,26/09/2018,STADIUM SARDEGNA ARENA,21:00:00,GIANLUCA  ROCCHI,ANTONIO  SANTORO,DOMENICO  ROCCA,ANTONIO  GIUA,GIANLUCA  MANGANIELLO,DAMIANO DI IORIO,0,0,D,ROLANDO MARAN,MARCO GIAMPAOLO,4-3-1-2,4-3-1-2,95'15,48'04,0.5,24'29 (51%),15'05 (62%),9'24 (38%),23'35 (49%),16'54 (72%),6'41 (28%),4'26,3'59,3'21,3'49,3'39,5'15,3'58,3'11,4'01,4'18,3'34,4'33,10,10,2(0),5(0),0,1,2,4,8,5,3,1,3,6,0,0,6,2,7,3,16,22,364,436,0.74,0.76,43,17,105,108,216,311,13,12,14,19,0 (0),1 (0),109.815,26.611,75.554,7.65,107.223,26.674,72.597,7.952,6.9,6.8,16 (35%),12 (26%),18 (39%),10 (21%),11 (23%),27 (56%),0/0,0/1,1/3,5/7,0/0,0/0,0/0,0/1,0/0,1/4,0/0,0/0,DIEGO FARIAS,17,GREGOIRE DEFREL,92,2.5,3.3,2.87
2018-2019,6,GENOA,CHIEVOVERONA,26/09/2018,STADIUM LUIGI FERRARIS,21:00:00,FABRIZIO  PASQUA,ALESSIO  TOLFO,ORESTE  MUTO,GIANLUCA  AURELIANO,LUCA  PAIRETTO,GIANMATTIA TASSO,2,0,H,DAVIDE BALLARDINI,LORENZO D'ANNA,3-4-1-2,4-3-3,96'16,50'04,0.52,25'42 (51%),13'21 (52%),12'21 (48%),24'22 (49%),12'44 (52%),11'38 (48%),6'21,5'52,3'21,2'29,4'05,3'34,1'56,2'54,2'52,4'03,4'50,7'46,11,8,5(2),2(0),0,0,5,1,6,6,2,2,5,5,1,0,0,2,7,4,11,17,394,413,0.79,0.79,31,29,143,121,220,263,18,16,25,18,0 (0),0 (0),111.501,28.38,74.767,8.354,114.177,26.48,79.114,8.583,6.7,6.9,20 (35%),9 (16%),28 (49%),22 (43%),7 (14%),22 (43%),2/2,2/2,3/4,3/6,2/2,0/0,0/0,2/2,4/6,3/7,1/1,2/4,KRZYSZTOF PIATEK,9,MARIUSZ STEPINSKI,9,1.8,3.4,5.0
2018-2019,6,JUVENTUS,BOLOGNA,26/09/2018,STADIUM ALLIANZ STADIUM,21:00:00,MAURIZIO  MARIANI,DANIELE  BINDONI,PASQUALE  DE MEO,NICCOLO'  BARONI,MARCO  GUIDA,RODOLFO DI VUOLO,2,0,H,MASSIMILIANO ALLEGRI,FILIPPO INZAGHI,3-5-2,3-5-2,94'00,56'19,0.6,42'46 (76%),17'42 (41%),25'04 (59%),13'33 (24%),7'07 (53%),6'26 (47%),6'29,6'47,8'04,6'16,6'26,8'44,3'05,1'45,2'04,2'19,1'45,2'35,15,5,9(2),2(0),0,1,7,1,6,3,2,7,10,5,1,0,2,0,3,0,10,13,783,199,0.91,0.71,54,20,287,54,442,125,45,22,13,12,0 (0),0 (0),106.759,30.253,67.668,8.838,113.463,26.813,77.711,8.939,6.6,6.9,21 (38%),15 (26%),20 (36%),4 (15%),4 (16%),18 (69%),0/2,0/0,3/7,1/5,0/0,0/0,0/0,0/0,0/1,1/2,0/0,0/0,BLAISE MATUIDI,14,BLERIM DZEMAILI,31,1.16,7.5,17.0
2018-2019,6,NAPOLI,PARMA,26/09/2018,STADIUM SAN PAOLO,21:00:00,DANIELE  DOVERI,LUCA  MONDIN,EMANUELE  PRENNA,ROSARIO  ABISSO,GIANPAOLO  CALVARESE,MATTEO PASSERI,3,0,H,CARLO ANCELOTTI,ROBERTO D'AVERSA,4-4-2,4-3-3,92'59,54'59,0.59,36'09 (66%),17'19 (48%),18'50 (52%),18'50 (34%),13'11 (70%),5'39 (30%),7'40,6'58,5'14,4'01,5'59,6'17,2'06,2'55,3'48,3'17,2'56,3'47,20,2,8(3),0(0),0,0,5,0,12,2,0,4,11,0,3,0,1,5,2,2,9,13,722,327,0.91,0.77,34,23,225,109,463,195,31,11,16,10,0 (0),0 (0),113.339,27.829,76.474,9.036,115.556,25.721,81.462,8.373,7.1,7.1,25 (41%),14 (23%),22 (36%),19 (70%),2 (8%),6 (22%),3/3,3/4,1/5,2/4,0/1,0/0,0/1,3/4,0/0,0/1,0/0,0/0,ARKADIUSZ MILIK,99,LEO STULAC,5,1.22,6.0,15.0
2018-2019,6,ROMA,FROSINONE,26/09/2018,STADIUM OLIMPICO,21:00:00,MARCO  DI BELLO,FABRIZIO  POSADO,MAURO  GALETTO,FABIO  PISCOPO,LUCA  BANTI,STEFANO LIBERTI,4,0,H,EUSEBIO DI FRANCESCO,MORENO LONGO,4-2-3-1,3-5-2,91'58,62'42,0.68,41'29 (66%),18'51 (45%),22'38 (55%),21'13 (34%),14'40 (69%),6'33 (31%),6'14,5'42,5'26,7'36,9'16,7'15,2'30,4'05,3'59,4'17,2'40,3'42,18,8,13(4),3(0),0,0,7,2,5,5,2,8,12,4,3,0,1,0,4,3,13,8,794,337,0.93,0.82,38,14,259,90,497,233,35,22,11,8,0 (0),0 (0),109.488,26.914,74.875,7.699,113.279,24.773,79.874,8.632,7.1,7.2,21 (40%),15 (28%),17 (32%),14 (44%),8 (25%),10 (31%),2/3,2/5,3/3,0/0,0/0,1/1,2/2,2/5,2/4,1/3,2/4,0/2,CENGIZ UNDER,17,RAMAN CHIBSAH,66,1.2,7.0,13.0
2018-2019,6,SPAL,SASSUOLO,27/09/2018,STADIUM PAOLO MAZZA,19:00:00,EUGENIO  ABBATTISTA,ALESSANDRO  COSTANZO,GIOVANNI  BACCINI,JUAN LUCA  SACCHI,DAVIDE  MASSA,ALFONSO MARRAZZO,0,2,A,LEONARDO SEMPLICI,ROBERTO DE ZERBI,3-5-2,3-4-3,95'46,48'03,0.5,25'31 (53%),14'44 (58%),10'47 (42%),22'32 (47%),10'59 (49%),11'33 (51%),3'58,4'36,4'18,1'22,4'44,6'33,5'06,4'30,4'20,3'23,1'50,3'23,6,10,2(0),5(2),0,0,2,4,4,5,2,2,2,7,0,1,5,4,6,7,16,12,394,390,0.85,0.85,16,25,133,124,245,241,22,19,9,19,0 (0),0 (0),106.203,26.244,70.303,9.656,109.917,25.023,74.957,9.937,6.8,7.0,15 (45%),3 (10%),15 (45%),13 (30%),13 (29%),18 (41%),0/0,1/1,1/1,0/3,1/3,0/0,0/0,1/1,0/0,1/1,1/2,1/1,ANDREA PETAGNA,37,CLAUD ADJAPONG,98,2.54,3.2,2.9
