Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,Gls_T1,Gls_T2,FR,Gls_fh_T1,Gls_fh_T2,FHR,Gls_sh_T1,Gls_sh_T2,SHR,Gls_0_15_T1,Gls_16_30_T1,Gls_31_HT_T1,Gls_46_60_T1,Gls_61_75_T1,Gls_76_FT_T1,Gls_0_15_T2,Gls_16_30_T2,Gls_31_HT_T2,Gls_46_60_T2,Gls_61_75_T2,Gls_76_FT_T2,Coach_T1,Coach_T2,Svs_T1,Svs_T2,Pnt_T1,Pnt_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_off_T1,Atp_off_T2,FlsC_T1,FlsC_T2,Post_T1,Post_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,1st_yllw_crd_T1,1st_yllw_crd_T2,2nd_yllw_crd_T1,2nd_yllw_crd_T2,rd_crd_T1,rd_crd_T2,bet365_home_win,bet365_draw,bet365_away_win
2011-12,7,ATALANTA,UDINESE,16/10/2011,GEWISS STADIUM - BERGAMO,15:00,ANDREA GERVASONI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Stefano Colantuono,Francesco Guidolin,2,3,0 (0),0 (0),8,5,3,2,5,3,18,22,0,0,0,0,1,3,3,3,3,1,0,1,0,0,2.6,3.1,2.8
2011-12,7,CAGLIARI,ROBUR SIENA,16/10/2011,SANT'ELIA - CAGLIARI,15:00,DINO TOMMASI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Massimo Ficcadenti,Giuseppe Sannino,2,5,0 (0),0 (0),10,5,6,2,4,3,13,15,0,0,0,0,0,5,4,3,1,3,0,0,0,0,1.91,3.25,4.33
2011-12,7,CHIEVOVERONA,JUVENTUS,16/10/2011,MARCANTONIO BENTEGODI - VERONA,15:00,ANDREA DE MARCO,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Domenico Di Carlo,Antonio Conte,3,1,0 (0),0 (0),2,9,1,4,1,5,22,11,0,1,0,0,3,4,3,4,7,2,0,0,0,0,4,3.2,2
2011-12,7,GENOA,LECCE,16/10/2011,LUIGI FERRARIS - GENOVA,15:00,GABRIELE GAVA,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Alberto Malesani,Eusebio Di Francesco,1,7,0 (0),0 (0),15,6,9,1,6,5,20,22,1,0,1,0,4,0,11,2,2,4,1,0,0,0,1.57,3.75,6
2011-12,7,NOVARA,BOLOGNA,16/10/2011,SILVIO PIOLA - NOVARA,15:00,DANIELE DOVERI,0,2,A,0,1,A,0,1,A,0,0,0,0,0,0,0,0,1,0,1,0,Attilio Tesser,Stefano Pioli,4,2,0 (0),0 (0),9,8,3,7,6,1,9,22,0,1,0,2,4,6,8,1,1,2,0,0,0,0,2,3.3,3.8
2011-12,7,LAZIO,ROMA,16/10/2011,OLIMPICO - ROMA,20:45,PAOLO TAGLIAVENTO,2,1,H,0,1,A,2,0,H,0,0,0,1,0,1,1,0,0,0,0,0,Edoardo Reja,Luis Enrique,0,3,1 (1),0 (0),13,3,7,1,6,2,15,11,2,0,2,1,3,1,8,2,2,4,0,0,0,1,2.6,3.2,2.75
2011-12,8,FIORENTINA,CATANIA,22/10/2011,ARTEMIO FRANCHI - FIRENZE,18:00,ANTONIO DANILO GIANNOCCARO,2,2,D,1,1,D,1,1,D,0,1,0,0,1,0,0,0,1,0,0,1,Sinisa Mihajlovic,Vincenzo Montella,0,4,0 (0),0 (0),10,7,6,2,4,5,16,13,0,0,1,0,0,2,6,10,1,1,0,0,0,0,1.67,3.5,5.5
2011-12,8,JUVENTUS,GENOA,22/10/2011,ALLIANZ STADIUM - TORINO,20:45,ANDREA ROMEO,2,2,D,1,1,D,1,1,D,1,0,0,1,0,0,0,0,1,0,0,1,Antonio Conte,Alberto Malesani,3,5,0 (0),0 (0),15,9,7,6,8,3,11,12,0,1,1,2,3,1,8,8,2,5,0,0,0,0,1.62,3.6,6
2011-12,8,LECCE,MILAN,23/10/2011,ETTORE GIARDINIERO - VIA DEL MARE - LECCE,12:30,SEBASTIANO PERUZZO,3,4,A,3,0,H,0,4,A,1,1,1,0,0,0,0,0,0,2,1,1,Eusebio Di Francesco,Massimiliano Allegri,2,3,1 (1),0 (0),11,14,6,6,5,8,19,17,0,0,1,6,4,4,3,6,4,0,0,0,0,0,7,4,1.5
2011-12,8,CAGLIARI,NAPOLI,23/10/2011,SANT'ELIA - CAGLIARI,15:00,LUCA BANTI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Massimo Ficcadenti,Walter Mazzarri,4,4,0 (0),0 (0),10,11,6,6,4,5,18,14,2,1,3,2,1,3,7,4,3,2,0,0,0,0,2.8,3.25,2.5
2011-12,8,INTER,CHIEVOVERONA,23/10/2011,GIUSEPPE MEAZZA - MILANO,15:00,DOMENICO CELI,1,0,H,1,0,H,0,0,D,0,0,1,0,0,0,0,0,0,0,0,0,Claudio Ranieri,Domenico Di Carlo,3,6,0 (0),0 (0),17,5,7,3,10,2,10,14,1,0,1,0,0,2,10,4,2,2,0,0,0,0,1.55,3.75,6.5
2011-12,8,PARMA,ATALANTA,23/10/2011,ENNIO TARDINI - PARMA,15:00,CHRISTIAN BRIGHI,1,2,A,0,0,D,1,2,A,0,0,0,0,0,1,0,0,0,2,0,0,Franco Colomba,Stefano Colantuono,1,3,0 (0),0 (0),10,6,4,3,6,3,12,11,0,0,3,3,3,1,9,4,2,2,0,0,0,0,2.1,3.2,3.6
2011-12,8,ROBUR SIENA,CESENA,23/10/2011,ARTEMIO FRANCHI - SIENA,15:00,NICOLA RIZZOLI,2,0,H,1,0,H,1,0,H,1,0,0,1,0,0,0,0,0,0,0,0,Giuseppe Sannino,Marco Giampaolo,1,2,0 (0),0 (0),9,8,4,2,5,6,3,17,0,1,1,0,5,0,4,5,1,1,0,0,0,0,1.83,3.4,4.5
2011-12,8,ROMA,PALERMO,23/10/2011,OLIMPICO - ROMA,15:00,MAURO BERGONZI,1,0,H,1,0,H,0,0,D,1,0,0,0,0,0,0,0,0,0,0,0,Luis Enrique,Devis Mangia,5,0,0 (0),0 (0),11,10,1,5,10,5,15,18,0,0,1,0,1,3,7,6,3,3,0,0,0,0,1.73,3.5,5
2011-12,8,UDINESE,NOVARA,23/10/2011,DACIA ARENA - STADIO FRIULI - UDINE,15:00,MARCO GUIDA,3,0,H,2,0,H,1,0,H,0,0,2,1,0,0,0,0,0,0,0,0,Francesco Guidolin,Attilio Tesser,5,1,0 (0),0 (0),9,9,4,5,5,4,12,15,0,0,0,0,3,4,9,5,1,2,0,0,0,0,1.44,4.2,7.5
2011-12,8,BOLOGNA,LAZIO,23/10/2011,RENATO DALL'ARA - BOLOGNA,20:45,ANTONIO DAMATO,0,2,A,0,1,A,0,1,A,0,0,0,0,0,0,0,1,0,1,0,0,Stefano Pioli,Edoardo Reja,1,6,0 (0),0 (0),9,7,6,3,3,4,18,18,0,1,2,3,2,1,8,2,4,3,0,0,0,0,3.5,3.3,2.1
2011-12,9,JUVENTUS,FIORENTINA,25/10/2011,ALLIANZ STADIUM - TORINO,20:45,DANIELE ORSATO,2,1,H,1,0,H,1,1,D,1,0,0,0,1,0,0,0,0,1,0,0,Antonio Conte,Sinisa Mihajlovic,2,12,0 (0),0 (0),20,6,14,2,6,4,6,17,0,0,4,0,9,3,8,4,1,3,0,0,0,0,1.67,3.6,5.5
2011-12,9,ATALANTA,INTER,26/10/2011,GEWISS STADIUM - BERGAMO,20:45,PAOLO VALERI,1,1,D,1,1,D,0,0,D,0,0,1,0,0,0,0,0,1,0,0,0,Stefano Colantuono,Claudio Ranieri,3,3,1 (0),0 (0),6,11,5,4,1,7,16,13,0,0,1,1,1,3,4,5,2,2,0,0,0,0,3.2,3.25,2.25
2011-12,9,CESENA,CAGLIARI,26/10/2011,OROGEL STADIUM - CESENA,20:45,DANIELE DOVERI,1,1,D,1,1,D,0,0,D,0,0,1,0,0,0,0,1,0,0,0,0,Marco Giampaolo,Massimo Ficcadenti,2,1,1 (1),1 (1),7,4,2,3,5,1,18,13,0,0,0,0,2,2,13,1,2,3,0,0,0,0,2.7,3.1,2.7
2011-12,9,CHIEVOVERONA,BOLOGNA,26/10/2011,MARCANTONIO BENTEGODI - VERONA,20:45,GIANLUCA ROCCHI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,1,0,0,Domenico Di Carlo,Stefano Pioli,2,2,0 (0),0 (0),13,8,3,3,10,5,18,17,1,0,2,0,0,2,4,2,0,3,0,0,0,0,1.8,3.25,5
2011-12,9,GENOA,ROMA,26/10/2011,LUIGI FERRARIS - GENOVA,20:45,ANDREA GERVASONI,2,1,H,1,0,H,1,1,D,0,0,1,0,0,1,0,0,0,0,0,1,Alberto Malesani,Luis Enrique,4,4,0 (0),0 (0),8,14,6,5,2,9,17,11,0,0,1,3,3,0,7,5,2,1,0,0,0,0,2.6,3.2,2.75
2011-12,9,LAZIO,CATANIA,26/10/2011,OLIMPICO - ROMA,20:45,GABRIELE GAVA,1,1,D,1,0,H,0,1,A,0,1,0,0,0,0,0,0,0,0,1,0,Edoardo Reja,Vincenzo Montella,4,1,0 (0),0 (0),9,6,3,4,6,2,9,13,1,0,1,0,5,0,4,8,1,5,0,0,0,0,1.67,3.6,5.5
2011-12,9,MILAN,PARMA,26/10/2011,GIUSEPPE MEAZZA - MILANO,20:45,CARMINE RUSSO,4,1,H,2,0,H,2,1,H,0,1,1,0,1,1,0,0,0,0,0,1,Massimiliano Allegri,Franco Colomba,1,3,0 (0),0 (0),11,6,7,2,4,4,11,9,0,0,2,1,4,3,5,3,2,0,0,0,0,0,1.33,4.75,10
2011-12,9,NAPOLI,UDINESE,26/10/2011,SAN PAOLO - NAPOLI,20:45,ANDREA DE MARCO,2,0,H,2,0,H,0,0,D,0,1,1,0,0,0,0,0,0,0,0,0,Walter Mazzarri,Francesco Guidolin,2,2,0 (0),0 (0),9,11,4,2,5,9,13,21,0,0,2,0,5,5,3,4,0,4,0,0,0,0,2.05,3.25,3.75
2011-12,9,NOVARA,ROBUR SIENA,26/10/2011,SILVIO PIOLA - NOVARA,20:45,PAOLO TAGLIAVENTO,1,1,D,0,1,A,1,0,H,0,0,0,0,0,1,0,1,0,0,0,0,Attilio Tesser,Giuseppe Sannino,4,4,0 (0),0 (0),11,9,5,5,6,4,18,18,0,0,0,0,1,1,7,6,3,3,0,0,0,0,2.4,3.2,3
2011-12,9,PALERMO,LECCE,27/10/2011,RENZO BARBERA - PALERMO,20:45,DAVIDE MASSA,2,0,H,1,0,H,1,0,H,0,1,0,0,0,1,0,0,0,0,0,0,Devis Mangia,Eusebio Di Francesco,4,7,1 (1),0 (0),15,14,9,4,6,10,15,10,0,0,4,0,1,3,7,4,3,2,0,0,0,0,1.53,4,6.25
2011-12,10,CATANIA,NAPOLI,29/10/2011,ANGELO MASSIMINO - CATANIA,18:00,DOMENICO CELI,2,1,H,1,1,D,1,0,H,0,1,0,1,0,0,1,0,0,0,0,0,Vincenzo Montella,Walter Mazzarri,5,6,0 (0),0 (0),16,10,8,6,8,4,11,12,0,0,2,2,1,2,5,6,1,1,0,1,0,0,2.9,3.1,2.5
2011-12,10,ROMA,MILAN,29/10/2011,OLIMPICO - ROMA,18:00,ANTONIO DAMATO,2,3,A,1,2,A,1,1,D,0,1,0,0,0,1,0,2,0,0,0,1,Luis Enrique,Massimiliano Allegri,1,5,0 (0),0 (0),9,6,7,4,2,2,13,14,0,0,3,5,0,5,14,3,2,3,0,0,0,0,2.75,3.2,2.6
2011-12,10,INTER,JUVENTUS,29/10/2011,GIUSEPPE MEAZZA - MILANO,20:45,NICOLA RIZZOLI,1,2,A,1,2,A,0,0,D,0,1,0,0,0,0,1,0,1,0,0,0,Claudio Ranieri,Antonio Conte,5,3,0 (0),0 (0),9,14,5,6,4,8,15,14,1,0,2,2,2,3,6,4,2,5,0,0,0,0,2.5,3.2,2.88
2011-12,10,ROBUR SIENA,CHIEVOVERONA,30/10/2011,ARTEMIO FRANCHI - SIENA,12:30,CHRISTIAN BRIGHI,4,1,H,1,0,H,3,1,H,0,1,0,1,1,1,0,0,0,0,1,0,Giuseppe Sannino,Domenico Di Carlo,1,3,0 (0),0 (0),11,4,7,2,4,2,16,28,0,1,2,1,3,0,4,2,1,5,0,0,0,0,2.1,3.2,3.6
2011-12,10,BOLOGNA,ATALANTA,30/10/2011,RENATO DALL'ARA - BOLOGNA,15:00,MAURO BERGONZI,3,1,H,1,1,D,2,0,H,0,0,1,1,1,0,1,0,0,0,0,0,Stefano Pioli,Stefano Colantuono,4,1,1 (1),0 (0),6,11,4,5,2,6,20,15,0,0,1,1,5,0,7,6,2,3,0,0,0,0,2.5,3.2,2.88
2011-12,10,FIORENTINA,GENOA,30/10/2011,ARTEMIO FRANCHI - FIRENZE,15:00,SEBASTIANO PERUZZO,1,0,H,1,0,H,0,0,D,0,0,1,0,0,0,0,0,0,0,0,0,Sinisa Mihajlovic,Alberto Malesani,5,3,0 (0),0 (0),13,6,4,5,9,1,10,20,0,0,1,0,3,2,11,2,1,1,0,0,0,0,2,3.2,4
2011-12,10,LECCE,NOVARA,30/10/2011,ETTORE GIARDINIERO - VIA DEL MARE - LECCE,15:00,ANDREA ROMEO,1,1,D,1,1,D,0,0,D,0,0,1,0,0,0,0,0,1,0,0,0,Eusebio Di Francesco,Attilio Tesser,1,7,0 (0),1 (1),13,7,8,2,5,5,26,8,0,0,3,2,1,7,9,8,4,1,0,0,0,0,2.2,3.3,3.3
2011-12,10,PARMA,CESENA,30/10/2011,ENNIO TARDINI - PARMA,15:00,MARCO GUIDA,2,0,H,1,0,H,1,0,H,0,0,1,0,1,0,0,0,0,0,0,0,Franco Colomba,Marco Giampaolo,1,4,1 (0),0 (0),14,8,6,1,8,7,15,16,0,0,1,0,9,0,11,2,2,4,0,0,0,0,1.8,3.25,5
2011-12,10,UDINESE,PALERMO,30/10/2011,DACIA ARENA - STADIO FRIULI - UDINE,15:00,ANTONIO DANILO GIANNOCCARO,1,0,H,1,0,H,0,0,D,0,0,1,0,0,0,0,0,0,0,0,0,Francesco Guidolin,Devis Mangia,6,3,0 (0),0 (0),17,10,6,6,11,4,12,13,2,0,0,0,7,3,4,5,2,1,0,0,0,0,1.67,3.6,5.5
2011-12,10,CAGLIARI,LAZIO,30/10/2011,SANT'ELIA - CAGLIARI,20:45,PAOLO SILVIO MAZZOLENI,0,3,A,0,2,A,0,1,A,0,0,0,0,0,0,0,0,2,0,0,1,Massimo Ficcadenti,Edoardo Reja,1,2,0 (0),0 (0),10,5,2,4,8,1,6,13,0,0,0,1,1,3,11,3,0,0,0,0,0,0,2.5,3.2,2.88
2011-12,11,PALERMO,BOLOGNA,05/11/2011,RENZO BARBERA - PALERMO,18:00,DANIELE ORSATO,3,1,H,1,0,H,2,1,H,1,0,0,1,1,0,0,0,0,0,0,1,Devis Mangia,Stefano Pioli,7,2,0 (0),0 (0),9,8,6,8,3,0,22,14,1,0,0,1,1,3,5,9,3,2,0,0,0,0,1.67,3.5,5.5
2011-12,11,NOVARA,ROMA,05/11/2011,SILVIO PIOLA - NOVARA,20:45,GIANLUCA ROCCHI,0,2,A,0,0,D,0,2,A,0,0,0,0,0,0,0,0,0,0,1,1,Attilio Tesser,Luis Enrique,9,2,0 (0),0 (0),6,17,3,11,3,6,19,16,1,0,0,1,9,1,10,8,2,2,0,0,0,0,4,3.4,1.91
2011-12,11,ATALANTA,CAGLIARI,06/11/2011,GEWISS STADIUM - BERGAMO,15:00,PIERO GIACOMELLI,1,0,H,0,0,D,1,0,H,0,0,0,0,0,1,0,0,0,0,0,0,Stefano Colantuono,Massimo Ficcadenti,6,2,0 (0),0 (0),9,9,4,6,5,3,18,17,1,0,1,0,3,3,1,6,4,2,0,0,0,0,2.1,3.25,3.5
2011-12,11,CESENA,LECCE,06/11/2011,OROGEL STADIUM - CESENA,15:00,PAOLO VALERI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,1,0,0,Daniele Arrigoni,Eusebio Di Francesco,1,6,0 (0),0 (0),14,7,6,2,8,5,17,18,0,0,2,2,1,1,21,2,1,2,0,0,0,1,2,3.2,4
2011-12,11,CHIEVOVERONA,FIORENTINA,06/11/2011,MARCANTONIO BENTEGODI - VERONA,15:00,GABRIELE GAVA,1,0,H,0,0,D,1,0,H,0,0,0,0,1,0,0,0,0,0,0,0,Domenico Di Carlo,Sinisa Mihajlovic,3,3,0 (0),0 (0),10,10,4,3,6,7,13,7,0,0,0,1,4,3,6,5,1,3,0,0,0,0,2.7,3.1,2.7
2011-12,11,LAZIO,PARMA,06/11/2011,OLIMPICO - ROMA,15:00,ANDREA DE MARCO,1,0,H,0,0,D,1,0,H,0,0,0,0,0,1,0,0,0,0,0,0,Edoardo Reja,Franco Colomba,2,3,0 (0),0 (0),8,5,5,2,3,3,6,12,1,0,0,0,0,2,7,5,1,1,0,0,0,0,1.57,3.6,6.5
2011-12,11,MILAN,CATANIA,06/11/2011,GIUSEPPE MEAZZA - MILANO,15:00,ANDREA GERVASONI,4,0,H,2,0,H,2,0,H,1,1,0,0,2,0,0,0,0,0,0,0,Massimiliano Allegri,Vincenzo Montella,4,6,1 (1),0 (0),16,11,10,5,6,6,20,15,0,1,1,0,2,3,5,2,4,3,0,0,0,0,1.33,4.5,11
2011-12,11,UDINESE,ROBUR SIENA,06/11/2011,DACIA ARENA - STADIO FRIULI - UDINE,15:00,CARMINE RUSSO,2,1,H,1,0,H,1,1,D,1,0,0,0,1,0,0,0,0,0,0,1,Francesco Guidolin,Giuseppe Sannino,4,4,0 (0),0 (0),11,14,7,5,4,9,13,14,1,0,0,0,1,6,7,3,0,2,0,0,0,0,1.62,3.6,6
2011-12,11,NAPOLI,JUVENTUS,29/11/2011,SAN PAOLO - NAPOLI,20:45,PAOLO TAGLIAVENTO,3,3,D,2,0,H,1,3,A,0,1,1,0,1,0,0,0,0,1,1,1,Walter Mazzarri,Antonio Conte,4,4,1 (0),0 (0),10,10,7,7,3,3,9,17,0,0,2,2,2,4,3,5,4,5,0,0,0,0,2.4,3.2,3
2011-12,11,GENOA,INTER,13/12/2011,LUIGI FERRARIS - GENOVA,20:45,LUCA BANTI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,1,0,Alberto Malesani,Claudio Ranieri,6,1,0 (0),0 (0),3,13,1,8,2,5,11,13,0,1,0,1,6,4,6,4,2,2,0,0,0,0,3.25,3.2,2.25
2011-12,12,INTER,CAGLIARI,19/11/2011,GIUSEPPE MEAZZA - MILANO,18:00,ANTONIO DAMATO,2,1,H,0,0,D,2,1,H,0,0,0,2,0,0,0,0,0,0,0,1,Claudio Ranieri,Davide Ballardini,2,2,0 (0),0 (0),11,5,6,3,5,2,18,19,2,0,0,0,2,5,4,0,1,2,0,0,0,0,1.53,3.8,6.5
2011-12,12,FIORENTINA,MILAN,19/11/2011,ARTEMIO FRANCHI - FIRENZE,20:45,PAOLO SILVIO MAZZOLENI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Delio Rossi,Massimiliano Allegri,2,1,0 (0),0 (0),7,11,1,3,6,8,14,11,0,1,0,3,4,5,2,4,1,1,0,0,0,0,3.5,3.25,2.1
2011-12,12,NAPOLI,LAZIO,19/11/2011,SAN PAOLO - NAPOLI,20:45,NICOLA RIZZOLI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Walter Mazzarri,Edoardo Reja,1,5,0 (0),0 (0),14,4,5,1,9,3,7,15,0,0,0,0,5,2,7,3,0,3,0,0,0,0,2.05,3.25,3.75
2011-12,12,BOLOGNA,CESENA,20/11/2011,RENATO DALL'ARA - BOLOGNA,12:30,DOMENICO CELI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,0,1,Stefano Pioli,Daniele Arrigoni,2,5,0 (0),0 (0),10,11,5,3,5,8,12,10,0,0,0,1,7,2,4,7,3,4,0,0,0,0,1.91,3.3,4.2
2011-12,12,CATANIA,CHIEVOVERONA,20/11/2011,ANGELO MASSIMINO - CATANIA,15:00,PAOLO TAGLIAVENTO,1,2,A,0,1,A,1,1,D,0,0,0,0,0,1,0,0,1,0,1,0,Vincenzo Montella,Domenico Di Carlo,0,3,1 (0),1 (1),12,9,6,2,6,7,14,14,1,0,0,1,2,6,9,5,2,3,0,0,0,0,1.91,3.3,4.2
2011-12,12,GENOA,NOVARA,20/11/2011,LUIGI FERRARIS - GENOVA,15:00,ANTONIO DANILO GIANNOCCARO,1,0,H,0,0,D,1,0,H,0,0,0,0,0,1,0,0,0,0,0,0,Alberto Malesani,Attilio Tesser,3,3,0 (0),0 (0),13,9,4,4,9,5,14,24,0,1,0,0,4,5,6,7,3,3,0,1,1,0,1.57,3.75,6
2011-12,12,JUVENTUS,PALERMO,20/11/2011,ALLIANZ STADIUM - TORINO,15:00,MAURO BERGONZI,3,0,H,1,0,H,2,0,H,0,1,0,1,1,0,0,0,0,0,0,0,Antonio Conte,Devis Mangia,3,2,0 (0),0 (0),14,7,6,3,8,4,13,14,1,0,3,0,4,2,4,4,0,2,0,0,0,0,1.44,4.2,7.5
2011-12,12,PARMA,UDINESE,20/11/2011,ENNIO TARDINI - PARMA,15:00,ANDREA ROMEO,2,0,H,0,0,D,2,0,H,0,0,0,1,0,1,0,0,0,0,0,0,Franco Colomba,Francesco Guidolin,6,3,1 (1),0 (0),15,11,6,6,9,5,11,13,1,0,3,1,2,3,3,7,2,1,0,0,0,0,2.9,3.1,2.5
2011-12,12,ROBUR SIENA,ATALANTA,20/11/2011,ARTEMIO FRANCHI - SIENA,15:00,DANIELE DOVERI,2,2,D,1,1,D,1,1,D,0,0,1,0,0,1,1,0,0,1,0,0,Giuseppe Sannino,Stefano Colantuono,1,9,1 (1),1 (1),14,4,10,3,4,1,9,20,0,0,3,0,2,1,12,2,3,2,0,0,0,0,2.1,3.2,3.6
2011-12,12,ROMA,LECCE,20/11/2011,OLIMPICO - ROMA,20:45,CHRISTIAN BRIGHI,2,1,H,1,0,H,1,1,D,0,1,0,1,0,0,0,0,0,0,1,0,Luis Enrique,Eusebio Di Francesco,0,2,0 (0),0 (0),10,4,4,1,6,3,5,14,0,0,9,0,0,3,7,1,1,2,0,0,0,0,1.36,4.5,9
2011-12,13,UDINESE,ROMA,25/11/2011,DACIA ARENA - STADIO FRIULI - UDINE,20:45,LUCA BANTI,2,0,H,0,0,D,2,0,H,0,0,0,0,0,2,0,0,0,0,0,0,Francesco Guidolin,Luis Enrique,1,2,0 (0),0 (0),10,10,4,1,6,9,20,14,0,0,2,0,7,2,4,5,3,2,0,0,0,0,2.25,3.2,3.25
2011-12,13,LECCE,CATANIA,26/11/2011,ETTORE GIARDINIERO - VIA DEL MARE - LECCE,18:00,SEBASTIANO PERUZZO,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,0,1,Eusebio Di Francesco,Vincenzo Montella,6,4,0 (0),0 (0),11,13,4,7,7,6,20,16,0,0,2,3,2,6,7,4,4,2,0,0,0,0,2.6,3.1,2.8
2011-12,13,NOVARA,PARMA,26/11/2011,SILVIO PIOLA - NOVARA,18:00,DINO TOMMASI,2,1,H,0,1,A,2,0,H,0,0,0,0,1,1,0,1,0,0,0,0,Attilio Tesser,Franco Colomba,5,4,0 (0),0 (0),10,14,6,6,4,8,12,17,0,1,2,1,3,3,1,6,0,2,0,0,1,0,2.5,3.1,2.9
2011-12,13,ATALANTA,NAPOLI,26/11/2011,GEWISS STADIUM - BERGAMO,20:45,DANIELE ORSATO,1,1,D,0,0,D,1,1,D,0,0,0,0,1,0,0,0,0,0,0,1,Stefano Colantuono,Walter Mazzarri,2,3,0 (0),0 (0),8,8,5,3,3,5,16,12,1,0,3,1,2,3,1,6,3,4,0,0,0,0,2.63,3.1,2.75
2011-12,13,LAZIO,JUVENTUS,26/11/2011,OLIMPICO - ROMA,20:45,GIANLUCA ROCCHI,0,1,A,0,1,A,0,0,D,0,0,0,0,0,0,0,0,1,0,0,0,Edoardo Reja,Antonio Conte,3,8,0 (0),0 (0),12,11,9,5,3,6,19,11,1,1,0,1,4,3,5,3,2,1,0,0,0,0,2.75,3.1,2.63
2011-12,13,CAGLIARI,BOLOGNA,27/11/2011,SANT'ELIA - CAGLIARI,15:00,PAOLO VALERI,1,1,D,0,0,D,1,1,D,0,0,0,0,0,1,0,0,0,0,1,0,Davide Ballardini,Stefano Pioli,2,3,1 (1),0 (0),12,6,5,3,7,3,17,23,1,0,3,0,1,1,11,6,4,4,0,0,0,0,1.85,3.3,4.5
2011-12,13,CESENA,GENOA,27/11/2011,OROGEL STADIUM - CESENA,15:00,NICOLA RIZZOLI,2,0,H,0,0,D,2,0,H,0,0,0,0,1,1,0,0,0,0,0,0,Daniele Arrigoni,Alberto Malesani,2,5,1 (1),0 (0),9,3,7,2,2,1,11,10,0,0,0,2,4,7,4,6,2,2,0,0,0,0,2.63,3.1,2.75
2011-12,13,PALERMO,FIORENTINA,27/11/2011,RENZO BARBERA - PALERMO,15:00,CARMINE RUSSO,2,0,H,1,0,H,1,0,H,0,1,0,0,1,0,0,0,0,0,0,0,Devis Mangia,Delio Rossi,5,3,0 (0),0 (0),9,14,5,7,4,7,18,11,0,1,2,0,1,1,5,6,2,0,0,1,0,0,2.3,3.1,3.3
2011-12,13,ROBUR SIENA,INTER,27/11/2011,ARTEMIO FRANCHI - SIENA,15:00,ANDREA DE MARCO,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,0,1,Giuseppe Sannino,Claudio Ranieri,3,0,0 (0),0 (0),7,9,0,4,7,5,11,13,0,0,3,3,3,1,5,6,1,2,1,0,0,0,3,3.2,2.38
2011-12,13,MILAN,CHIEVOVERONA,27/11/2011,GIUSEPPE MEAZZA - MILANO,20:45,MARCO GUIDA,4,0,H,4,0,H,0,0,D,1,1,2,0,0,0,0,0,0,0,0,0,Massimiliano Allegri,Domenico Di Carlo,4,2,1 (1),0 (0),10,6,7,4,3,2,13,10,1,0,2,1,1,5,6,1,0,1,0,0,0,0,1.33,4.75,10
2011-12,14,GENOA,MILAN,02/12/2011,LUIGI FERRARIS - GENOVA,20:45,DOMENICO CELI,0,2,A,0,0,D,0,2,A,0,0,0,0,0,0,0,0,0,1,0,1,Alberto Malesani,Massimiliano Allegri,4,3,0 (0),1 (1),6,13,3,6,3,7,14,13,0,0,1,3,1,5,3,4,3,2,1,0,0,0,4.5,3.5,1.8
2011-12,14,INTER,UDINESE,03/12/2011,GIUSEPPE MEAZZA - MILANO,20:45,ANDREA GERVASONI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,1,0,Claudio Ranieri,Francesco Guidolin,3,2,1 (0),1 (0),13,7,2,5,11,2,13,12,0,0,1,2,1,12,6,4,1,2,1,1,0,0,2,3.3,3.75
2011-12,14,NAPOLI,LECCE,03/12/2011,SAN PAOLO - NAPOLI,20:45,ANDREA ROMEO,4,2,H,3,0,H,1,2,A,0,1,2,0,0,1,0,0,0,1,0,1,Walter Mazzarri,Eusebio Di Francesco,3,5,0 (0),0 (0),15,11,9,5,6,6,6,12,0,0,2,1,2,1,6,5,1,2,0,0,0,0,1.36,4.5,9
2011-12,14,CATANIA,CAGLIARI,04/12/2011,ANGELO MASSIMINO - CATANIA,12:30,MAURO BERGONZI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,1,0,Vincenzo Montella,Davide Ballardini,4,8,0 (0),0 (0),17,7,8,6,9,1,22,20,0,1,3,2,2,8,10,3,2,1,0,0,0,0,2,3.2,4
