Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,Gls_T1,Gls_T2,FR,Gls_fh_T1,Gls_fh_T2,FHR,Gls_sh_T1,Gls_sh_T2,SHR,Gls_0_15_T1,Gls_16_30_T1,Gls_31_HT_T1,Gls_46_60_T1,Gls_61_75_T1,Gls_76_FT_T1,Gls_0_15_T2,Gls_16_30_T2,Gls_31_HT_T2,Gls_46_60_T2,Gls_61_75_T2,Gls_76_FT_T2,Coach_T1,Coach_T2,Svs_T1,Svs_T2,Pnt_T1,Pnt_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_off_T1,Atp_off_T2,FlsC_T1,FlsC_T2,Post_T1,Post_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,1st_yllw_crd_T1,1st_yllw_crd_T2,2nd_yllw_crd_T1,2nd_yllw_crd_T2,rd_crd_T1,rd_crd_T2,bet365_home_win,bet365_draw,bet365_away_win
2011-12,2,LECCE,UDINESE,11/09/2011,ETTORE GIARDINIERO - VIA DEL MARE - LECCE,15:00,ANTONIO DAMATO,0,2,A,0,2,A,0,0,D,0,0,0,0,0,0,1,1,0,0,0,0,Eusebio Di Francesco,Francesco Guidolin,2,3,0 (0),0 (0),13,12,3,4,10,8,17,9,0,0,0,2,3,6,8,5,2,1,0,0,0,0,3,3.2,2.4
2011-12,2,ROMA,CAGLIARI,11/09/2011,OLIMPICO - ROMA,15:00,GABRIELE GAVA,1,2,A,0,0,D,1,2,A,0,0,0,0,0,1,0,0,0,0,1,1,Luis Enrique,Massimo Ficcadenti,1,7,0 (0),0 (0),10,7,8,4,2,3,12,14,0,1,2,0,4,1,5,3,0,5,0,0,1,0,1.5,4,7
2011-12,2,PALERMO,INTER,11/09/2011,RENZO BARBERA - PALERMO,20:45,CHRISTIAN BRIGHI,4,3,H,0,1,A,4,2,H,0,0,0,2,0,2,0,0,1,1,0,1,Devis Mangia,Gian Piero Gasperini,3,7,0 (0),1 (1),13,16,11,6,2,10,9,21,0,0,2,1,3,1,5,6,2,3,0,0,0,0,3.75,3.4,2
2011-12,3,CAGLIARI,NOVARA,17/09/2011,SANT'ELIA - CAGLIARI,18:00,ANTONIO DANILO GIANNOCCARO,2,1,H,1,0,H,1,1,D,0,0,1,0,0,1,0,0,0,0,0,1,Massimo Ficcadenti,Attilio Tesser,3,3,0 (0),0 (0),13,7,6,4,7,3,16,16,0,0,2,0,4,5,4,5,2,3,0,0,0,0,1.62,3.6,6
2011-12,3,INTER,ROMA,17/09/2011,GIUSEPPE MEAZZA - MILANO,20:45,PAOLO SILVIO MAZZOLENI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Gian Piero Gasperini,Luis Enrique,3,5,0 (0),0 (0),14,8,5,3,9,5,12,15,0,0,0,0,0,1,5,6,1,1,0,0,0,0,1.85,3.5,4.2
2011-12,3,ATALANTA,PALERMO,18/09/2011,GEWISS STADIUM - BERGAMO,12:30,ANDREA DE MARCO,1,0,H,1,0,H,0,0,D,0,0,1,0,0,0,0,0,0,0,0,0,Stefano Colantuono,Devis Mangia,0,0,0 (0),0 (0),6,7,1,0,5,7,15,12,0,0,2,0,2,2,1,8,4,3,0,0,0,0,2.4,3.2,3
2011-12,3,BOLOGNA,LECCE,18/09/2011,RENATO DALL'ARA - BOLOGNA,15:00,CARMINE RUSSO,0,2,A,0,1,A,0,1,A,0,0,0,0,0,0,0,0,1,1,0,0,Pierpaolo Bisoli,Eusebio Di Francesco,5,2,0 (0),0 (0),4,14,2,7,2,7,12,13,0,0,0,2,2,2,8,3,3,2,0,0,0,0,1.85,3.4,4.33
2011-12,3,CATANIA,CESENA,18/09/2011,ANGELO MASSIMINO - CATANIA,15:00,ANDREA GERVASONI,1,0,H,1,0,H,0,0,D,0,0,1,0,0,0,0,0,0,0,0,0,Vincenzo Montella,Marco Giampaolo,2,5,1 (1),0 (0),10,3,6,2,4,1,15,13,0,0,0,1,5,3,9,1,5,1,0,0,0,0,2.1,3.1,3.8
2011-12,3,LAZIO,GENOA,18/09/2011,OLIMPICO - ROMA,15:00,DANIELE ORSATO,1,2,A,1,0,H,0,2,A,1,0,0,0,0,0,0,0,0,1,1,0,Edoardo Reja,Alberto Malesani,2,1,0 (0),0 (0),10,9,2,4,8,5,15,16,0,0,3,3,3,7,6,2,1,2,0,0,0,0,1.73,3.5,5
2011-12,3,PARMA,CHIEVOVERONA,18/09/2011,ENNIO TARDINI - PARMA,15:00,DANIELE DOVERI,2,1,H,1,0,H,1,1,D,0,1,0,0,0,1,0,0,0,0,0,1,Franco Colomba,Domenico Di Carlo,0,2,0 (0),0 (0),7,8,4,2,3,6,20,15,0,1,3,0,1,7,0,2,1,3,1,0,0,0,2.05,3.25,3.75
2011-12,3,ROBUR SIENA,JUVENTUS,18/09/2011,ARTEMIO FRANCHI - SIENA,15:00,PAOLO VALERI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,1,0,0,Giuseppe Sannino,Antonio Conte,4,1,0 (0),0 (0),3,11,1,5,2,6,14,16,0,0,0,3,2,2,1,4,2,0,0,0,0,0,5,3.5,1.73
2011-12,3,UDINESE,FIORENTINA,18/09/2011,DACIA ARENA - STADIO FRIULI - UDINE,15:00,ANDREA ROMEO,2,0,H,2,0,H,0,0,D,1,1,0,0,0,0,0,0,0,0,0,0,Francesco Guidolin,Sinisa Mihajlovic,2,4,1 (1),0 (0),10,6,6,2,4,4,13,17,0,0,0,0,4,2,4,3,1,4,0,0,0,0,2.1,3.3,3.5
2011-12,3,NAPOLI,MILAN,18/09/2011,SAN PAOLO - NAPOLI,20:45,PAOLO TAGLIAVENTO,3,1,H,2,1,H,1,0,H,1,0,1,1,0,0,1,0,0,0,0,0,Walter Mazzarri,Massimiliano Allegri,3,1,0 (0),0 (0),11,8,4,4,7,4,14,8,0,0,2,1,0,0,2,3,4,4,0,0,0,0,2.63,3.1,2.75
2011-12,4,NOVARA,INTER,20/09/2011,SILVIO PIOLA - NOVARA,20:45,MAURO BERGONZI,3,1,H,1,0,H,2,1,H,0,0,1,0,0,2,0,0,0,0,0,1,Attilio Tesser,Gian Piero Gasperini,1,6,1 (1),0 (0),11,8,9,2,2,6,10,14,0,0,1,0,3,3,5,5,1,4,0,0,0,1,6,3.6,1.62
2011-12,4,CESENA,LAZIO,21/09/2011,OROGEL STADIUM - CESENA,20:45,DOMENICO CELI,1,2,A,1,0,H,0,2,A,1,0,0,0,0,0,0,0,0,2,0,0,Marco Giampaolo,Edoardo Reja,5,0,0 (0),1 (1),6,11,1,7,5,4,9,13,0,0,3,3,2,7,5,4,3,1,0,0,0,0,3.4,3.2,2.2
2011-12,4,CHIEVOVERONA,NAPOLI,21/09/2011,MARCANTONIO BENTEGODI - VERONA,20:45,ANTONIO DAMATO,1,0,H,0,0,D,1,0,H,0,0,0,0,1,0,0,0,0,0,0,0,Domenico Di Carlo,Walter Mazzarri,3,2,0 (0),0 (0),9,10,3,3,6,7,13,6,0,0,0,1,4,1,4,3,2,2,0,0,0,0,4,3.2,2
2011-12,4,FIORENTINA,PARMA,21/09/2011,ARTEMIO FRANCHI - FIRENZE,20:45,NICOLA RIZZOLI,3,0,H,0,0,D,3,0,H,0,0,0,1,1,1,0,0,0,0,0,0,Sinisa Mihajlovic,Franco Colomba,1,3,0 (0),0 (0),12,4,6,1,6,3,11,13,0,0,4,0,0,3,5,5,0,4,0,0,0,0,1.8,3.3,4.75
2011-12,4,GENOA,CATANIA,21/09/2011,LUIGI FERRARIS - GENOVA,20:45,RICCARDO TOZZI,3,0,H,2,0,H,1,0,H,0,1,1,0,0,1,0,0,0,0,0,0,Alberto Malesani,Vincenzo Montella,4,5,0 (0),0 (0),15,10,9,4,6,6,14,15,1,0,1,0,2,3,6,5,2,1,0,0,0,0,1.8,3.3,4.75
2011-12,4,JUVENTUS,BOLOGNA,21/09/2011,ALLIANZ STADIUM - TORINO,20:45,GABRIELE GAVA,1,1,D,1,0,H,0,1,A,0,1,0,0,0,0,0,0,0,1,0,0,Antonio Conte,Pierpaolo Bisoli,3,4,0 (0),0 (0),12,10,5,4,7,6,14,16,0,0,2,0,4,1,11,5,2,5,1,0,0,0,1.4,4.33,8.5
2011-12,4,LECCE,ATALANTA,21/09/2011,ETTORE GIARDINIERO - VIA DEL MARE - LECCE,20:45,GIANLUCA ROCCHI,1,2,A,1,1,D,0,1,A,0,1,0,0,0,0,1,0,0,1,0,0,Eusebio Di Francesco,Stefano Colantuono,4,5,0 (0),1 (1),8,10,6,6,2,4,16,14,0,0,3,2,4,1,5,3,2,5,0,0,1,0,2.5,3.1,2.9
2011-12,4,MILAN,UDINESE,21/09/2011,GIUSEPPE MEAZZA - MILANO,20:45,LUCA BANTI,1,1,D,0,1,A,1,0,H,0,0,0,0,1,0,0,1,0,0,0,0,Massimiliano Allegri,Francesco Guidolin,4,4,0 (0),0 (0),16,8,6,6,10,2,14,15,1,1,4,2,1,4,2,3,3,1,0,0,0,0,1.67,3.5,5.5
2011-12,4,PALERMO,CAGLIARI,21/09/2011,RENZO BARBERA - PALERMO,20:45,SEBASTIANO PERUZZO,3,2,H,2,0,H,1,2,A,2,0,0,0,0,1,0,0,0,0,0,2,Devis Mangia,Massimo Ficcadenti,3,1,0 (0),0 (0),8,12,4,5,4,7,14,13,0,0,3,1,2,1,1,5,4,2,0,0,0,0,1.91,3.4,4
2011-12,4,ROMA,ROBUR SIENA,22/09/2011,OLIMPICO - ROMA,20:45,MARCO GUIDA,1,1,D,1,0,H,0,1,A,0,1,0,0,0,0,0,0,0,0,0,1,Luis Enrique,Giuseppe Sannino,4,4,0 (0),0 (0),12,12,5,6,7,6,10,7,0,1,1,0,0,7,6,4,1,1,0,0,0,0,1.57,3.75,6
2011-12,5,BOLOGNA,INTER,24/09/2011,RENATO DALL'ARA - BOLOGNA,18:00,PAOLO TAGLIAVENTO,1,3,A,0,1,A,1,2,A,0,0,0,0,1,0,0,0,1,0,0,2,Pierpaolo Bisoli,Claudio Ranieri,5,6,1 (1),1 (1),10,10,7,7,3,3,13,19,0,1,0,3,3,3,9,1,2,1,0,0,1,0,4,3.4,1.91
2011-12,5,MILAN,CESENA,24/09/2011,GIUSEPPE MEAZZA - MILANO,20:45,ANTONIO DANILO GIANNOCCARO,1,0,H,1,0,H,0,0,D,1,0,0,0,0,0,0,0,0,0,0,0,Massimiliano Allegri,Marco Giampaolo,4,3,0 (0),0 (0),7,6,4,4,3,2,16,14,0,0,4,0,8,1,11,3,3,1,0,0,0,0,1.33,5,8.5
2011-12,5,NAPOLI,FIORENTINA,24/09/2011,SAN PAOLO - NAPOLI,20:45,PAOLO VALERI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Walter Mazzarri,Sinisa Mihajlovic,4,2,0 (0),0 (0),6,12,2,4,4,8,6,11,0,0,0,0,1,1,6,6,2,3,0,0,0,0,1.73,3.5,5
2011-12,5,CHIEVOVERONA,GENOA,25/09/2011,MARCANTONIO BENTEGODI - VERONA,12:30,CARMINE RUSSO,2,1,H,0,0,D,2,1,H,0,0,0,0,1,1,0,0,0,1,0,0,Domenico Di Carlo,Alberto Malesani,3,5,1 (0),0 (0),14,4,8,4,6,0,11,15,0,0,1,0,2,0,8,4,0,2,0,0,0,1,2.5,3.2,2.8
2011-12,5,ATALANTA,NOVARA,25/09/2011,GEWISS STADIUM - BERGAMO,15:00,EMILIO OSTINELLI,2,1,H,1,0,H,1,1,D,0,0,1,1,0,0,0,0,0,0,0,1,Stefano Colantuono,Attilio Tesser,3,2,0 (0),0 (0),7,9,5,4,2,5,19,23,1,0,1,0,2,1,4,3,4,1,0,0,0,0,1.8,3.3,4.75
2011-12,5,CAGLIARI,UDINESE,25/09/2011,SANT'ELIA - CAGLIARI,15:00,ANDREA DE MARCO,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Massimo Ficcadenti,Francesco Guidolin,3,7,0 (0),0 (0),14,9,7,4,7,5,13,14,0,0,2,0,0,2,6,3,1,5,0,0,0,0,2.5,3.2,2.8
2011-12,5,CATANIA,JUVENTUS,25/09/2011,ANGELO MASSIMINO - CATANIA,15:00,PAOLO SILVIO MAZZOLENI,1,1,D,1,0,H,0,1,A,0,1,0,0,0,0,0,0,0,1,0,0,Vincenzo Montella,Antonio Conte,7,3,0 (0),0 (0),13,16,4,7,9,9,21,16,0,0,2,3,1,4,3,10,2,3,0,0,0,0,4,3.2,2
2011-12,5,LAZIO,PALERMO,25/09/2011,OLIMPICO - ROMA,15:00,ANDREA GERVASONI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Edoardo Reja,Devis Mangia,4,7,0 (0),0 (0),11,5,7,4,4,1,15,11,0,0,1,0,1,4,7,3,2,1,0,0,0,0,1.83,3.4,4.5
