Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,Add_Referee_1,Add_Referee_2,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_sp_T1,Atp_on_sp_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Atp_off_fk_T1,Atp_off_fk_T2,Atp_off_sp_T1,Atp_off_sp_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,Lst_Bls_T1,Lst_Bls_T2,Rcv_Bls_T1,Rcv_Bls_T2,Fst_Brk_T1,Fst_Brk_T2,Lng_Bls_T1,Lng_Bls_T2,Prs_Act_T1,Prs_Act_T2,Wrg_Pss_T1,Wrg_Pss_T2,BuP_T1,BuP_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,Rcv_Bls_Dfc_r_T1,Rcv_Bls_Dfc_l_T1,Rcv_Bls_Mdl_r_T1,Rcv_Bls_Mdl_l_T1,Rcv_Bls_Atk_r_T1,Rcv_Bls_Atk_l_T1,Rcv_Bls_Dfc_r_T2,Rcv_Bls_Dfc_l_T2,Rcv_Bls_Mdl_r_T2,Rcv_Bls_Mdl_l_T2,Rcv_Bls_Atk_r_T2,Rcv_Bls_Atk_l_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2016-2017,1,ROMA,UDINESE,20/08/2016,STADIUM OLIMPICO,18:00,MARCO  DI BELLO,ANDREA  MARZALONI,CIRO  CARBONE,VALENTINO  FIORITO,CARMINE  RUSSO,DANIELE CHIFFI,4,0,H,LUCIANO SPALLETTI,GIUSEPPE IACHINI,4-3-3,3-5-2,93'56,48'06,51%,31'21 (65%),13'26 (43%),17'55 (57%),16'45 (35%),9'42 (58%),7'03 (42%),6'44,4'23,3'59,4'53,3'27,7'55,2'19,2'43,3'57,2'26,2'36,2'44,21,8,10(4),2(0),2,0,0,0,8,1,11,6,0,0,0,0,2,5,24,9,5,0,2,2,10,5,5,13,22,15,24,17,6,11,10,21,1,3,30,42,26,10,1,0,2 (2),0 (0),99.239,28.542,62.68,8.017,101.964,27.94,65.65,8.374,6.6,6.7,9 (16%),34 (59%),14 (25%),6 (23%),13 (50%),7 (27%),2/3,1/2,5/9,3/10,1/1,2/2,0/0,1/2,1/5,1/6,1/5,1/2,8,5,3,5,1,2,7,5,2,3,0,0,DIEGO PEROTTI,8,DUVAN ZAPATA,9,1.44,4.5,7.5
2016-2017,1,JUVENTUS,FIORENTINA,20/08/2016,STADIUM JUVENTUS STADIUM,20:45,DAVIDE  MASSA,GIANLUCA  CARIOLATO,ANDREA  CRISPO,MAURO  TONOLINI,NICOLA  RIZZOLI,DANIELE DOVERI,2,1,H,MASSIMILIANO ALLEGRI,PAULO SOUSA,3-5-2,3-4-2-1,96'03,60'50,63%,32'40 (54%),15'24 (47%),17'16 (53%),28'10 (46%),14'20 (51%),13'50 (49%),6'12,6'34,4'49,4'06,4'10,6'49,3'27,4'26,4'20,4'28,4'59,6'30,13,3,5(2),1(1),0,0,0,1,3,1,8,2,0,1,0,0,0,3,11,3,5,1,0,2,2,1,12,15,35,35,18,17,2,1,7,18,3,1,30,35,23,12,0,0,0 (0),0 (0),106.821,31.394,68.709,6.718,110.022,29.659,73.282,7.081,6.4,6.7,19 (42%),18 (40%),8 (18%),7 (39%),9 (50%),2 (11%),4/5,0/0,5/8,5/6,2/2,1/2,0/1,0/0,1/1,0/1,0/1,1/4,2,3,6,7,0,0,1,2,4,9,0,1,PAULO DYBALA,21,NIKOLA KALINIC,9,1.5,4.2,7
2016-2017,1,MILAN,TORINO,21/08/2016,STADIUM GIUSEPPE MEAZZA,18:00,ANTONIO  DAMATO,MATTEO  PASSERI,SERGIO  RANGHETTI,FABIANO  PRETI,DOMENICO  CELI,GIANPAOLO CALVARESE,3,2,H,VINCENZO MONTELLA,SINISA MIHAJLOVIC,4-3-3,4-3-3,97'22,45'12,46%,25'55 (57%),15'28 (60%),10'27 (40%),19'17 (43%),7'27 (39%),11'50 (61%),4'00,5'11,4'20,5'02,3'27,3'55,3'17,2'19,2'23,4'03,2'28,4'47,8,14,6(3),5(2),1,1,0,0,5,4,2,9,0,0,0,1,3,3,6,7,6,1,3,3,10,10,13,18,24,26,20,16,1,3,33,15,0,0,23,23,13,12,0,0,1 (1),1 (0),96.188,31.811,57.95,6.427,97.069,31.908,57.631,7.53,6,6,17 (52%),8 (24%),8 (24%),12 (23%),23 (43%),18 (34%),2/3,0/0,0/2,2/2,1/1,0/0,0/1,0/0,2/3,1/2,0/1,2/4,5,6,4,4,0,1,4,2,2,6,2,0,CARLOS BACCA,70,ANDREA BELOTTI,9,1.85,3.5,4.33
2016-2017,1,ATALANTA,LAZIO,21/08/2016,STADIUM ATLETI AZZURRI D'ITALIA,20:45,LUCA  BANTI,STEFANO  ALASSIO,GIORGIO  SCHENONE,FILIPPO  VALERIANI,MICHAEL  FABBRI,ROSARIO ABISSO,3,4,A,GIAN PIERO GASPERINI,SIMONE INZAGHI,3-4-3,4-3-3,99'10,51'06,52%,30'56 (61%),8'26 (27%),22'30 (73%),20'10 (39%),9'32 (47%),10'38 (53%),4'58,4'04,4'37,5'40,3'34,8'03,3'29,4'10,3'00,3'14,2'31,3'46,10,9,7(3),6(4),0,0,0,1,6,6,3,3,0,0,0,0,2,3,8,6,3,2,1,2,7,2,5,15,20,19,22,16,0,1,4,14,0,0,15,15,23,17,0,0,0 (0),0 (0),109.065,28.146,71.96,8.959,112.958,26.503,78.447,8.008,6.7,6.8,16 (57%),2 (7%),10 (36%),6 (43%),2 (14%),6 (43%),1/4,0/2,2/2,1/2,0/0,0/0,0/1,0/2,0/0,0/2,0/0,0/0,6,3,5,8,0,0,1,5,5,5,0,0,FRANK KESSIE',19,CIRO IMMOBILE,17,3.1,3.25,2.4
2016-2017,1,BOLOGNA,CROTONE,21/08/2016,STADIUM RENATO DALL'ARA,20:45,CLAUDIO  GAVILLUCCI,GIUSEPPE  DE PINTO,STEFANO  LIBERTI,RODOLFO  DI VUOLO,PAOLO SILVIO  MAZZOLENI,DANIELE MARTINELLI,1,0,H,ROBERTO DONADONI,DAVIDE NICOLA,4-3-3,3-4-3,96'04,50'15,52%,25'01 (50%),12'48 (51%),12'13 (49%),25'14 (50%),15'03 (60%),10'11 (40%),4'37,3'39,4'14,3'59,3'37,4'54,3'43,5'58,3'01,3'36,5'00,3'56,14,3,8(1),0(0),0,0,0,0,7,0,6,3,2,1,0,0,0,5,18,4,2,0,5,2,5,3,7,16,24,32,30,19,9,5,27,25,2,2,33,33,21,16,1,0,0 (0),0 (0),110.238,30.483,71.968,7.787,108.835,28.352,73.472,7.011,6.6,6.6,8 (20%),20 (50%),12 (30%),6 (30%),8 (40%),6 (30%),0/1,4/5,4/6,1/4,0/0,1/1,1/2,4/5,3/6,1/4,2/3,1/1,6,7,9,5,1,2,2,5,3,8,1,0,MATTIA DESTRO,10,RAFFAELE PALLADINO,7,1.85,3.5,5
2016-2017,1,CHIEVOVERONA,INTER,21/08/2016,STADIUM MARC'ANTONIO BENTEGODI,20:45,MASSIMILIANO  IRRATI,LORENZO  MANGANELLI,VALERIO  PEGORIN,OMAR  GAVA,MARCO  GUIDA,DAVIDE GHERSINI,2,0,H,ROLANDO MARAN,FRANK DE BOER,4-3-1-2,4-3-3,95'41,49'43,52%,19'35 (39%),12'41 (65%),6'54 (35%),30'08 (61%),18'22 (61%),11'46 (39%),1'42,4'07,3'15,3'39,2'48,4'03,7'19,3'48,6'36,5'27,3'15,3'43,9,13,4(2),7(0),0,0,0,0,3,6,5,6,0,0,0,1,7,2,7,8,3,0,1,0,4,8,14,11,28,34,13,14,1,4,18,4,1,1,22,40,20,25,1,0,0 (0),0 (0),108.152,27.233,72.852,8.067,104.616,30.084,66.942,7.59,6.7,6.4,2 (11%),14 (73%),3 (16%),6 (18%),16 (49%),11 (33%),0/0,0/0,1/3,0/3,0/0,0/0,2/3,0/0,4/5,3/13,0/0,1/1,2,2,5,4,0,0,2,5,5,1,0,1,VALTER BIRSA,23,GARY MEDEL,17,3.75,3.3,2.1
2016-2017,1,EMPOLI,SAMPDORIA,21/08/2016,STADIUM CARLO CASTELLANI,20:45,MAURIZIO  MARIANI,GIANLUCA  VUOTO,DAMIANO  DI IORIO,GIULIO  DOBOSZ,PAOLO  TAGLIAVENTO,ANTONIO RAPUANO,0,1,A,GIOVANNI MARTUSCIELLO,MARCO GIAMPAOLO,4-3-1-2,4-3-1-2,94'29,55'05,58%,29'25 (53%),20'46 (71%),8'39 (29%),25'40 (47%),15'45 (61%),9'55 (39%),5'13,4'41,4'41,3'37,3'35,7'37,5'14,4'12,4'26,4'17,3'45,3'46,7,14,3(0),7(1),0,0,0,0,1,2,4,7,0,1,0,0,6,3,4,8,1,3,6,0,2,5,16,26,40,26,23,24,4,2,16,28,1,5,27,22,21,27,1,2,0 (0),0 (0),104.691,26.71,69.133,8.848,99.589,26.095,65.111,8.383,6.7,6.7,8 (57%),2 (14%),4 (29%),2 (13%),7 (47%),6 (40%),1/4,1/2,1/2,0/0,1/1,0/0,0/0,1/2,0/0,0/1,0/1,0/0,5,7,7,4,0,0,4,3,8,8,0,1,MANUEL PUCCIARELLI,20,LUIS MURIEL,9,2.3,3.2,3.3
2016-2017,1,GENOA,CAGLIARI,21/08/2016,STADIUM LUIGI FERRARIS,20:45,DANIELE  ORSATO,GIACOMO  PAGANESSI,ALESSIO  TOLFO,ALESSANDRO  LO CICERO,FABIO  MARESCA,DANIELE MINELLI,3,1,H,IVAN JURIC,MASSIMO RASTELLI,3-4-3,3-5-2,95'03,49'50,52%,33'46 (68%),12'20 (37%),21'26 (63%),16'04 (32%),10'15 (64%),5'49 (36%),6'24,5'06,4'51,4'59,5'23,7'03,2'56,2'56,3'00,2'09,1'36,3'27,18,4,7(3),4(1),0,1,0,0,5,3,11,0,2,0,0,0,2,3,7,4,7,3,1,2,6,1,13,9,34,31,22,21,2,3,8,17,0,0,20,17,34,8,0,0,0 (0),0 (0),98.149,28.547,62.486,7.116,102.553,28.059,67.464,7.03,6.4,6.6,11 (34%),9 (28%),12 (38%),3 (50%),2 (33%),1 (17%),0/0,1/2,1/4,4/4,0/0,0/0,0/0,1/2,1/1,0/0,0/0,0/0,2,6,6,3,4,1,8,4,3,5,0,1,DIEGO LAXALT,93,MARCO BORRIELLO,22,2.05,3.3,3.8
2016-2017,1,PALERMO,SASSUOLO,21/08/2016,STADIUM RENZO BARBERA,20:45,LUCA  PAIRETTO,ELENITO GIOVANNI  DI LIBERATORE,MAURO  VIVENZI,ALESSANDRO  GIALLATINI,PAOLO  VALERI,JUAN LUCA SACCHI,0,1,A,DAVIDE BALLARDINI,EUSEBIO DI FRANCESCO,3-4-3,4-3-3,95'00,53'32,56%,25'34 (48%),15'37 (61%),9'57 (39%),27'58 (52%),13'45 (49%),14'13 (51%),3'25,4'38,3'13,5'09,3'25,5'44,6'09,5'20,4'59,4'30,3'41,3'19,4,15,2(0),9(1),0,1,1,0,1,5,2,6,0,2,0,0,7,2,3,8,0,2,1,1,4,8,16,15,30,30,18,19,5,4,23,19,1,0,31,28,9,21,0,0,0 (0),1 (1),108.092,29.572,70.614,7.906,108.078,30.466,69.958,7.654,6.7,6.5,11 (38%),8 (28%),10 (34%),10 (24%),18 (43%),14 (33%),0/1,1/1,3/3,1/3,1/1,1/1,2/2,1/1,0/1,3/3,0/0,0/0,6,3,3,6,0,0,3,4,4,8,0,0,ANDREA RISPOLI,3,DOMENICO BERARDI,25,3,3.2,2.5
2016-2017,1,PESCARA,NAPOLI,21/08/2016,STADIUM ADRIATICO - GIOVANNI CORNACCHIA,20:45,PIERO  GIACOMELLI,MARCO  BARBIRATI,GIORGIO  PERETTI,FABRIZIO  POSADO,GIANLUCA  ROCCHI,RICCARDO PINZANI,2,2,D,MASSIMO ODDO,MAURIZIO SARRI,4-3-2-1,4-3-3,96'03,53'41,56%,24'02 (45%),16'18 (68%),7'44 (32%),29'39 (55%),10'45 (36%),18'54 (64%),5'26,5'56,3'56,2'46,1'29,4'29,3'57,5'46,3'59,5'10,5'03,5'44,5,12,4(2),4(2),0,0,0,0,3,2,1,8,0,1,0,1,2,2,4,11,1,1,1,1,3,9,10,12,40,32,21,18,1,0,14,1,0,0,32,27,18,22,0,0,0 (0),0 (0),107.805,28.584,71.648,7.573,105.592,28.893,68.398,8.301,6.6,6.5,2 (18%),5 (46%),4 (36%),12 (32%),16 (44%),9 (24%),0/0,1/1,0/1,0/1,0/0,0/0,1/2,1/1,5/9,3/6,0/0,0/0,10,5,3,2,0,1,0,4,7,2,2,3,GIANLUCA CAPRARI,17,DRIES MERTENS,14,7.5,4.5,1.44
