Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,Gls_T1,Gls_T2,FR,Gls_fh_T1,Gls_fh_T2,FHR,Gls_sh_T1,Gls_sh_T2,SHR,Gls_0_15_T1,Gls_16_30_T1,Gls_31_HT_T1,Gls_46_60_T1,Gls_61_75_T1,Gls_76_FT_T1,Gls_0_15_T2,Gls_16_30_T2,Gls_31_HT_T2,Gls_46_60_T2,Gls_61_75_T2,Gls_76_FT_T2,Coach_T1,Coach_T2,Svs_T1,Svs_T2,Crcl_svs_T1,Crcl_svs_T2,Pnt_T1,Pnt_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_off_T1,Atp_off_T2,Atp_off_fk_T1,Atp_off_fk_T2,FlsC_T1,FlsC_T2,Post_T1,Post_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,1st_yllw_crd_T1,1st_yllw_crd_T2,2nd_yllw_crd_T1,2nd_yllw_crd_T2,rd_crd_T1,rd_crd_T2,Fst_brk_T1,Fst_brk_T2,Crs_T1,Crs_T2,Lng_blls_T1,Lng_blls_T2,Atk_mddl_T1,Atk_mddl_T2,Atk_rght_T1,Atk_rght_T2,Atk_lft_T1,Atk_lft_T2,bet365_home_win,bet365_draw,bet365_away_win
2012-13,1,FIORENTINA,UDINESE,25/08/2012,ARTEMIO FRANCHI - FIRENZE,18:00,PAOLO SILVIO MAZZOLENI,2,1,H,0,1,A,2,0,H,0,0,0,0,1,1,0,1,0,0,0,0,Vincenzo Montella,Francesco Guidolin,1,8,NODATA,NODATA,0 (0),0 (0),18,2,11,2,NODATA,NODATA,7,0,NODATA,NODATA,9,12,1,0,NODATA,NODATA,4,1,2,1,10,0,2,1,0,0,0,0,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,2.05,3.2,3.75
2012-13,1,JUVENTUS,PARMA,25/08/2012,ALLIANZ STADIUM - TORINO,20:45,ANDREA ROMEO,2,0,H,0,0,D,2,0,H,0,0,0,2,0,0,0,0,0,0,0,0,Massimo Carrera,Roberto Donadoni,7,4,NODATA,NODATA,1 (0),0 (0),14,10,7,7,NODATA,NODATA,7,3,NODATA,NODATA,7,13,0,0,NODATA,NODATA,1,0,6,1,5,7,2,6,0,0,0,0,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,1.3,5,10.5
2012-13,1,MILAN,SAMPDORIA,26/08/2012,GIUSEPPE MEAZZA - MILANO,18:00,LUCA BANTI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,1,0,0,Massimiliano Allegri,Ciro Ferrara,2,5,NODATA,NODATA,0 (0),0 (0),16,7,7,3,NODATA,NODATA,9,4,NODATA,NODATA,16,13,2,0,NODATA,NODATA,0,0,2,0,7,2,2,5,0,0,0,0,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,1.4,4.5,8
2012-13,1,ATALANTA,LAZIO,26/08/2012,GEWISS STADIUM - BERGAMO,20:45,ANDREA GERVASONI,0,1,A,0,1,A,0,0,D,0,0,0,0,0,0,0,1,0,0,0,0,Stefano Colantuono,Vladimir Petkovic,3,3,NODATA,NODATA,0 (0),0 (0),5,8,4,4,NODATA,NODATA,1,4,NODATA,NODATA,13,17,1,0,NODATA,NODATA,0,1,3,1,8,5,1,4,0,0,0,0,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,2.4,3.2,3
2012-13,1,CHIEVOVERONA,BOLOGNA,26/08/2012,MARCANTONIO BENTEGODI - VERONA,20:45,GIANPAOLO CALVARESE,2,0,H,0,0,D,2,0,H,0,0,0,0,1,1,0,0,0,0,0,0,Domenico Di Carlo,Stefano Pioli,1,1,NODATA,NODATA,0 (0),0 (0),6,2,3,1,NODATA,NODATA,3,1,NODATA,NODATA,15,19,0,0,NODATA,NODATA,1,0,1,0,1,1,3,3,0,0,0,1,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,2.1,3.2,3.6
2012-13,1,GENOA,CAGLIARI,26/08/2012,LUIGI FERRARIS - GENOVA,20:45,NICOLA RIZZOLI,2,0,H,0,0,D,2,0,H,0,0,0,1,0,1,0,0,0,0,0,0,Luigi De Canio,Massimo Ficcadenti,5,1,NODATA,NODATA,1 (0),0 (0),9,13,3,5,NODATA,NODATA,6,8,NODATA,NODATA,15,11,0,0,NODATA,NODATA,1,1,2,2,3,6,0,3,0,0,0,0,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,1.95,3.3,4
2012-13,1,PALERMO,NAPOLI,26/08/2012,RENZO BARBERA - PALERMO,20:45,DANIELE ORSATO,0,3,A,0,1,A,0,2,A,0,0,0,0,0,0,0,0,1,0,0,2,Giuseppe Sannino,Walter Mazzarri,1,7,NODATA,NODATA,0 (0),0 (0),13,8,7,5,NODATA,NODATA,6,3,NODATA,NODATA,9,11,0,1,NODATA,NODATA,0,1,3,2,6,5,3,3,0,0,0,0,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,3,3.25,2.38
2012-13,1,PESCARA,INTER,26/08/2012,ADRIATICO - GIOVANNI CORNACCHIA - PESCARA,20:45,MARCO GUIDA,0,3,A,0,2,A,0,1,A,0,0,0,0,0,0,0,2,0,0,0,1,Giovanni Stroppa,Andrea Stramaccioni,3,7,NODATA,NODATA,0 (0),0 (0),12,12,7,6,NODATA,NODATA,5,6,NODATA,NODATA,6,12,0,0,NODATA,NODATA,0,4,1,1,10,2,3,1,0,0,0,0,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,4.33,3.6,1.8
2012-13,1,ROBUR SIENA,TORINO,26/08/2012,ARTEMIO FRANCHI - SIENA,20:45,PIERO GIACOMELLI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Serse Cosmi,Gian Piero Ventura,1,1,NODATA,NODATA,0 (0),0 (0),6,7,1,1,NODATA,NODATA,5,6,NODATA,NODATA,9,13,1,0,NODATA,NODATA,2,1,3,2,4,5,0,1,0,0,0,0,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,2.25,3.1,3.4
2012-13,1,ROMA,CATANIA,26/08/2012,OLIMPICO - ROMA,20:45,ANDREA DE MARCO,2,2,D,0,1,A,2,1,H,0,0,0,1,0,1,0,1,0,0,1,0,Zdenek Zeman,Rolando Maran,2,3,NODATA,NODATA,0 (0),0 (0),8,7,6,5,NODATA,NODATA,2,2,NODATA,NODATA,14,13,1,1,NODATA,NODATA,2,2,3,3,10,2,3,2,0,0,0,0,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,1.4,4.5,8
2012-13,2,TORINO,PESCARA,01/09/2012,OLIMPICO - TORINO,18:00,CARMINE RUSSO,3,0,H,1,0,H,2,0,H,0,0,1,1,1,0,0,0,0,0,0,0,Gian Piero Ventura,Giovanni Stroppa,0,7,NODATA,NODATA,1 (0),0 (0),15,0,10,0,NODATA,NODATA,5,0,NODATA,NODATA,12,19,0,0,NODATA,NODATA,6,0,3,0,5,0,1,2,0,0,0,1,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,NODATA,1.83,3.4,4.5
