Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,Gls_T1,Gls_T2,FR,Gls_fh_T1,Gls_fh_T2,FHR,Gls_sh_T1,Gls_sh_T2,SHR,Gls_0_15_T1,Gls_16_30_T1,Gls_31_HT_T1,Gls_46_60_T1,Gls_61_75_T1,Gls_76_FT_T1,Gls_0_15_T2,Gls_16_30_T2,Gls_31_HT_T2,Gls_46_60_T2,Gls_61_75_T2,Gls_76_FT_T2,Coach_T1,Coach_T2,Svs_T1,Svs_T2,Crcl_svs_T1,Crcl_svs_T2,Pnt_T1,Pnt_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_off_T1,Atp_off_T2,Atp_off_fk_T1,Atp_off_fk_T2,FlsC_T1,FlsC_T2,Post_T1,Post_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,1st_yllw_crd_T1,1st_yllw_crd_T2,2nd_yllw_crd_T1,2nd_yllw_crd_T2,rd_crd_T1,rd_crd_T2,Fst_brk_T1,Fst_brk_T2,Crs_T1,Crs_T2,Lng_blls_T1,Lng_blls_T2,Atk_mddl_T1,Atk_mddl_T2,Atk_rght_T1,Atk_rght_T2,Atk_lft_T1,Atk_lft_T2,bet365_home_win,bet365_draw,bet365_away_win
2013-14,1,HELLAS VERONA,MILAN,24/08/2013,MARCANTONIO BENTEGODI - VERONA,18:00,GIANPAOLO CALVARESE,2,1,H,1,1,D,1,0,H,0,1,0,1,0,0,1,0,0,0,0,0,Andrea Mandorlini,Massimiliano Allegri,4,7,3,2,0 (0),0 (0),13,11,9,5,0,0,4,6,0,2,10,13,0,0,5,3,3,1,3,0,6,5,2,3,0,0,0,0,0,0,6,11,9,9,1,2,2,3,7,2,4.75,3.6,1.75
2013-14,1,SAMPDORIA,JUVENTUS,24/08/2013,LUIGI FERRARIS - GENOVA,20:45,LUCA BANTI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,1,0,0,Delio Rossi,Antonio Conte,2,2,0,0,0 (0),0 (0),4,11,2,3,0,0,2,8,0,2,22,18,0,0,0,1,0,4,1,1,4,10,2,3,0,0,1,0,0,0,4,8,4,7,2,10,4,4,3,5,8,4,1.45
2013-14,1,INTER,GENOA,25/08/2013,GIUSEPPE MEAZZA - MILANO,18:00,MARCO GUIDA,2,0,H,0,0,D,2,0,H,0,0,0,0,1,1,0,0,0,0,0,0,Walter Mazzarri,Fabio Liverani,0,4,0,1,0 (0),0 (0),13,3,7,0,2,0,6,3,1,1,16,9,1,0,3,1,2,0,4,2,12,2,2,3,0,0,0,0,8,3,14,6,3,1,5,3,3,1,1,1,1.62,3.75,5.5
2013-14,1,CAGLIARI,ATALANTA,25/08/2013,SANT'ELIA - CAGLIARI,20:45,MASSIMILIANO IRRATI,2,1,H,1,1,D,1,0,H,0,1,0,0,1,0,0,1,0,0,0,0,Diego Lopez,Stefano Colantuono,2,5,1,4,0 (0),0 (0),16,10,8,4,1,0,8,6,1,0,17,16,1,1,7,6,2,2,2,1,10,3,2,4,0,0,0,0,0,1,11,11,11,3,1,1,2,2,1,2,2.5,3,3
2013-14,1,LAZIO,UDINESE,25/08/2013,OLIMPICO - ROMA,20:45,ANDREA GERVASONI,2,1,H,2,0,H,0,1,A,2,0,0,0,0,0,0,0,0,1,0,0,Vladimir Petkovic,Francesco Guidolin,1,5,0,1,1 (1),0 (0),12,5,6,2,2,0,6,3,1,1,14,12,1,0,10,2,5,2,1,1,4,3,4,3,0,0,0,0,4,1,7,8,4,6,8,2,3,5,3,3,2,3.4,3.75
2013-14,1,LIVORNO,ROMA,25/08/2013,ARMANDO PICCHI - LIVORNO,20:45,DAVIDE MASSA,0,2,A,0,0,D,0,2,A,0,0,0,0,0,0,0,0,0,0,2,0,Davide Nicola,Rudi Garcia,4,3,3,0,0 (0),0 (0),5,14,3,8,2,0,2,6,0,0,11,16,0,2,2,8,0,1,1,3,2,8,1,2,0,0,0,0,6,7,9,16,26,17,1,12,7,11,4,6,3.6,3.5,2
2013-14,1,NAPOLI,BOLOGNA,25/08/2013,SAN PAOLO - NAPOLI,20:45,ANDREA DE MARCO,3,0,H,2,0,H,1,0,H,0,0,2,0,1,0,0,0,0,0,0,0,Rafael Benitez,Stefano Pioli,2,3,0,0,0 (0),0 (0),13,4,7,2,0,0,6,2,1,0,9,14,1,0,6,1,7,0,2,3,0,5,1,3,0,0,0,0,7,2,9,9,5,12,3,4,4,3,10,4,1.36,4.75,8.5
2013-14,1,PARMA,CHIEVOVERONA,25/08/2013,ENNIO TARDINI - PARMA,20:45,NICOLA RIZZOLI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Roberto Donadoni,Giuseppe Sannino,5,5,2,3,0 (0),0 (0),11,11,5,5,0,0,6,6,0,0,16,10,0,0,2,0,2,1,3,1,7,2,2,3,0,0,0,0,0,5,16,7,21,11,7,4,7,5,9,8,1.85,3.5,4.2
2013-14,1,TORINO,SASSUOLO,25/08/2013,OLIMPICO - TORINO,20:45,DANIELE ORSATO,2,0,H,1,0,H,1,0,H,0,0,1,0,1,0,0,0,0,0,0,0,Gian Piero Ventura,Eusebio Di Francesco,4,5,0,0,0 (0),0 (0),12,10,8,4,1,0,4,6,0,2,15,11,1,0,4,3,1,0,3,0,4,5,3,2,0,0,0,0,3,3,5,10,14,1,10,3,2,1,1,2,2,3.3,3.8
2013-14,1,FIORENTINA,CATANIA,26/08/2013,ARTEMIO FRANCHI - FIRENZE,20:45,DANIELE DOVERI,2,1,H,2,1,H,0,0,D,1,1,0,0,0,0,0,1,0,0,0,0,Vincenzo Montella,Rolando Maran,3,5,0,0,0 (0),0 (0),14,12,8,4,1,0,6,8,1,1,15,20,1,0,5,2,3,2,3,4,3,3,2,4,0,0,0,0,0,0,8,2,5,5,6,13,4,2,5,1,1.44,4.2,7.5
